date,series,value
2015Q1,Quintile 1 (Highest),4.0619
2015Q2,Quintile 1 (Highest),3.8466
2015Q3,Quintile 1 (Highest),3.4227
2015Q4,Quintile 1 (Highest),3.1511
2016Q1,Quintile 1 (Highest),2.9109
2016Q2,Quintile 1 (Highest),2.6509
2016Q3,Quintile 1 (Highest),2.5516
2016Q4,Quintile 1 (Highest),2.4471
2017Q1,Quintile 1 (Highest),2.2822
2017Q2,Quintile 1 (Highest),2.0819
2017Q3,Quintile 1 (Highest),1.8851
2017Q4,Quintile 1 (Highest),1.558
2018Q1,Quintile 1 (Highest),1.2605
2018Q2,Quintile 1 (Highest),0.9114
2018Q3,Quintile 1 (Highest),0.515
2018Q4,Quintile 1 (Highest),0.3204
2019Q1,Quintile 1 (Highest),0.2056
2019Q2,Quintile 1 (Highest),0.1468
2019Q3,Quintile 1 (Highest),0.0911
2019Q4,Quintile 1 (Highest),-0.035
2020Q1,Quintile 1 (Highest),0
2020Q2,Quintile 1 (Highest),3.6178
2020Q3,Quintile 1 (Highest),5.774
2020Q4,Quintile 1 (Highest),7.0966
2021Q1,Quintile 1 (Highest),8.3116
2021Q2,Quintile 1 (Highest),5.9704
2021Q3,Quintile 1 (Highest),4.7494
2021Q4,Quintile 1 (Highest),3.88
2022Q1,Quintile 1 (Highest),2.804
2022Q2,Quintile 1 (Highest),1.5309
2022Q3,Quintile 1 (Highest),0.6522
2022Q4,Quintile 1 (Highest),0.2094
2023Q1,Quintile 1 (Highest),-0.0469
2023Q2,Quintile 1 (Highest),0.0796
2023Q3,Quintile 1 (Highest),0.1168
2023Q4,Quintile 1 (Highest),0.2666
2024Q1,Quintile 1 (Highest),0.4983
2024Q2,Quintile 1 (Highest),0.5789
2024Q3,Quintile 1 (Highest),0.8141
2024Q4,Quintile 1 (Highest),0.986
2025Q1,Quintile 1 (Highest),1.0081
2025Q2,Quintile 1 (Highest),1.0208
2025Q3,Quintile 1 (Highest),0.9773
2025Q4,Quintile 1 (Highest),1.1468
2026Q1,Quintile 1 (Highest),1.3492
2026Q2,Quintile 1 (Highest),1.5009
2026Q3,Quintile 1 (Highest),1.6611
2015Q1,Quintile 3,1.4792
2015Q2,Quintile 3,1.3405
2015Q3,Quintile 3,1.1164
2015Q4,Quintile 3,1.0134
2016Q1,Quintile 3,0.9026
2016Q2,Quintile 3,0.8277
2016Q3,Quintile 3,0.8368
2016Q4,Quintile 3,0.8703
2017Q1,Quintile 3,0.8516
2017Q2,Quintile 3,0.7161
