year,scenario,value
2025,Temporary with Tariff Revenue,100
2026,Temporary with Tariff Revenue,102.5
2027,Temporary with Tariff Revenue,105.1
2028,Temporary with Tariff Revenue,107.6
2029,Temporary with Tariff Revenue,110.2
2030,Temporary with Tariff Revenue,112.2
2031,Temporary with Tariff Revenue,113.9
2032,Temporary with Tariff Revenue,115.8
2033,Temporary with Tariff Revenue,117.6
2034,Temporary with Tariff Revenue,119.4
2035,Temporary with Tariff Revenue,121.3
2036,Temporary with Tariff Revenue,123.2
2037,Temporary with Tariff Revenue,125
2038,Temporary with Tariff Revenue,126.9
2039,Temporary with Tariff Revenue,128.9
2040,Temporary with Tariff Revenue,130.8
2041,Temporary with Tariff Revenue,132.7
2042,Temporary with Tariff Revenue,134.7
2043,Temporary with Tariff Revenue,136.8
2044,Temporary with Tariff Revenue,138.9
2045,Temporary with Tariff Revenue,141.1
2046,Temporary with Tariff Revenue,143.3
2047,Temporary with Tariff Revenue,145.6
2048,Temporary with Tariff Revenue,147.9
2049,Temporary with Tariff Revenue,150.2
2050,Temporary with Tariff Revenue,152.6
2051,Temporary with Tariff Revenue,155.1
2052,Temporary with Tariff Revenue,157.7
2053,Temporary with Tariff Revenue,160.2
2054,Temporary with Tariff Revenue,162.8
2055,Temporary with Tariff Revenue,165.4
2025,Temporary without Tariff Revenue,100.5
2026,Temporary without Tariff Revenue,103.8
2027,Temporary without Tariff Revenue,107
2028,Temporary without Tariff Revenue,110.3
2029,Temporary without Tariff Revenue,113.6
2030,Temporary without Tariff Revenue,116.2
2031,Temporary without Tariff Revenue,118.7
2032,Temporary without Tariff Revenue,121.3
2033,Temporary without Tariff Revenue,123.8
2034,Temporary without Tariff Revenue,126.3
2035,Temporary without Tariff Revenue,128.8
2036,Temporary without Tariff Revenue,131.4
2037,Temporary without Tariff Revenue,134
2038,Temporary without Tariff Revenue,136.5
2039,Temporary without Tariff Revenue,139.1
2040,Temporary without Tariff Revenue,141.6
2041,Temporary without Tariff Revenue,144.2
2042,Temporary without Tariff Revenue,146.8
2043,Temporary without Tariff Revenue,149.5
2044,Temporary without Tariff Revenue,152.2
2045,Temporary without Tariff Revenue,155
2046,Temporary without Tariff Revenue,157.8
2047,Temporary without Tariff Revenue,160.6
2048,Temporary without Tariff Revenue,163.5
2049,Temporary without Tariff Revenue,166.4
2050,Temporary without Tariff Revenue,169.3
2051,Temporary without Tariff Revenue,172.4
2052,Temporary without Tariff Revenue,175.4
2053,Temporary without Tariff Revenue,178.5
2054,Temporary without Tariff Revenue,181.6
2055,Temporary without Tariff Revenue,184.8
2025,Permanent with Tariff Revenue,100
2026,Permanent with Tariff Revenue,102.5
2027,Permanent with Tariff Revenue,105.1
2028,Permanent with Tariff Revenue,107.6
2029,Permanent with Tariff Revenue,110.5
2030,Permanent with Tariff Revenue,113.2
2031,Permanent with Tariff Revenue,115.8
2032,Permanent with Tariff Revenue,118.4
2033,Permanent with Tariff Revenue,121
2034,Permanent with Tariff Revenue,123.5
2035,Permanent with Tariff Revenue,126
2036,Permanent with Tariff Revenue,128.6
2037,Permanent with Tariff Revenue,131
2038,Permanent with Tariff Revenue,133.5
2039,Permanent with Tariff Revenue,136
2040,Permanent with Tariff Revenue,138.4
2041,Permanent with Tariff Revenue,140.9
2042,Permanent with Tariff Revenue,143.5
2043,Permanent with Tariff Revenue,146
2044,Permanent with Tariff Revenue,148.7
2045,Permanent with Tariff Revenue,151.3
2046,Permanent with Tariff Revenue,154
2047,Permanent with Tariff Revenue,156.8
2048,Permanent with Tariff Revenue,159.6
2049,Permanent with Tariff Revenue,162.4
2050,Permanent with Tariff Revenue,165.3
2051,Permanent with Tariff Revenue,168.3
2052,Permanent with Tariff Revenue,171.3
2053,Permanent with Tariff Revenue,174.3
2054,Permanent with Tariff Revenue,177.4
2055,Permanent with Tariff Revenue,180.5
2025,Permanent without Tariff Revenue,100.5
2026,Permanent without Tariff Revenue,103.8
2027,Permanent without Tariff Revenue,107
2028,Permanent without Tariff Revenue,110.3
2029,Permanent without Tariff Revenue,113.9
2030,Permanent without Tariff Revenue,117.3
2031,Permanent without Tariff Revenue,120.6
2032,Permanent without Tariff Revenue,123.9
2033,Permanent without Tariff Revenue,127.1
2034,Permanent without Tariff Revenue,130.3
2035,Permanent without Tariff Revenue,133.6
2036,Permanent without Tariff Revenue,136.8
2037,Permanent without Tariff Revenue,140
2038,Permanent without Tariff Revenue,143.1
2039,Permanent without Tariff Revenue,146.2
2040,Permanent without Tariff Revenue,149.3
2041,Permanent without Tariff Revenue,152.4
2042,Permanent without Tariff Revenue,155.6
2043,Permanent without Tariff Revenue,158.7
2044,Permanent without Tariff Revenue,162
2045,Permanent without Tariff Revenue,165.2
2046,Permanent without Tariff Revenue,168.5
2047,Permanent without Tariff Revenue,171.8
2048,Permanent without Tariff Revenue,175.2
2049,Permanent without Tariff Revenue,178.6
2050,Permanent without Tariff Revenue,182
2051,Permanent without Tariff Revenue,185.5
2052,Permanent without Tariff Revenue,189.1
2053,Permanent without Tariff Revenue,192.6
2054,Permanent without Tariff Revenue,196.2
2055,Permanent without Tariff Revenue,199.8
