age_bin,hhtype,sex_label,mean_hours
18-21,"Partnered, no child <13",Men,5.011606974078677
18-21,"Partnered, no child <13",Women,5.083808683276236
18-21,"Partnered, own child <13",Men,4.194711700254345
18-21,"Partnered, own child <13",Women,3.7545528271704827
18-21,"Single, no child <13",Men,5.868658282922305
18-21,"Single, no child <13",Women,4.589449323433481
18-21,"Single, own child <13",Men,5.2393595294688255
18-21,"Single, own child <13",Women,4.446288556625055
22-25,"Partnered, no child <13",Men,4.763705192663347
22-25,"Partnered, no child <13",Women,4.139549091291512
22-25,"Partnered, own child <13",Men,4.099666978558313
22-25,"Partnered, own child <13",Women,3.8513148764344916
22-25,"Single, no child <13",Men,5.370599959568863
22-25,"Single, no child <13",Women,4.1342004550566855
22-25,"Single, own child <13",Men,4.5877325679362135
22-25,"Single, own child <13",Women,3.704567908670303
26-30,"Partnered, no child <13",Men,4.465428403958454
26-30,"Partnered, no child <13",Women,4.0202243215144495
26-30,"Partnered, own child <13",Men,3.766597234358245
26-30,"Partnered, own child <13",Women,3.4254034721387
26-30,"Single, no child <13",Men,4.97563742715148
26-30,"Single, no child <13",Women,4.261434904740601
26-30,"Single, own child <13",Men,4.13062996270038
26-30,"Single, own child <13",Women,3.5278931602684818
31-35,"Partnered, no child <13",Men,4.429905464675303
31-35,"Partnered, no child <13",Women,4.067519010598981
31-35,"Partnered, own child <13",Men,3.814243700939308
31-35,"Partnered, own child <13",Women,3.1532788268509746
31-35,"Single, no child <13",Men,5.146695544530288
31-35,"Single, no child <13",Women,4.126748758258551
31-35,"Single, own child <13",Men,4.000237809376522
31-35,"Single, own child <13",Women,3.513522626877729
36-40,"Partnered, no child <13",Men,4.575245500665585
36-40,"Partnered, no child <13",Women,3.9423866222228754
36-40,"Partnered, own child <13",Men,3.584886354431061
36-40,"Partnered, own child <13",Women,3.2172009855915795
36-40,"Single, no child <13",Men,5.053828626705448
36-40,"Single, no child <13",Women,4.361982024499841
36-40,"Single, own child <13",Men,3.727027238773961
36-40,"Single, own child <13",Women,3.4075228887392823
41-45,"Partnered, no child <13",Men,4.589691356365232
41-45,"Partnered, no child <13",Women,4.145458597514305
41-45,"Partnered, own child <13",Men,3.6254378231073487
41-45,"Partnered, own child <13",Women,3.2264317226624506
41-45,"Single, no child <13",Men,5.1430921927346445
41-45,"Single, no child <13",Women,4.489320547938268
41-45,"Single, own child <13",Men,4.012955529464645
41-45,"Single, own child <13",Women,3.2571806212491916
46-50,"Partnered, no child <13",Men,4.498748462935784
46-50,"Partnered, no child <13",Women,4.0536457542336315
46-50,"Partnered, own child <13",Men,3.840250306668633
46-50,"Partnered, own child <13",Women,3.391888868788766
46-50,"Single, no child <13",Men,5.513738750288666
46-50,"Single, no child <13",Women,4.493892101121329
46-50,"Single, own child <13",Men,3.5932935578716667
46-50,"Single, own child <13",Women,3.101102541288836
51-55,"Partnered, no child <13",Men,4.613830668943547
51-55,"Partnered, no child <13",Women,4.226643453137448
51-55,"Partnered, own child <13",Men,3.8275230033226126
51-55,"Partnered, own child <13",Women,3.555010534412123
51-55,"Single, no child <13",Men,5.819888226202408
51-55,"Single, no child <13",Women,4.631494310753423
51-55,"Single, own child <13",Men,3.8845576670135067
51-55,"Single, own child <13",Women,3.7080914669574683
