date,series,value
2015Q1,Quintile 1 (Lowest),-2.4509
2015Q2,Quintile 1 (Lowest),-2.6398
2015Q3,Quintile 1 (Lowest),-2.7629
2015Q4,Quintile 1 (Lowest),-2.8561
2016Q1,Quintile 1 (Lowest),-2.5925
2016Q2,Quintile 1 (Lowest),-2.4041
2016Q3,Quintile 1 (Lowest),-2.0966
2016Q4,Quintile 1 (Lowest),-1.8669
2017Q1,Quintile 1 (Lowest),-1.8327
2017Q2,Quintile 1 (Lowest),-1.689
2017Q3,Quintile 1 (Lowest),-1.6819
2017Q4,Quintile 1 (Lowest),-1.6831
2018Q1,Quintile 1 (Lowest),-1.6424
2018Q2,Quintile 1 (Lowest),-1.6141
2018Q3,Quintile 1 (Lowest),-1.4819
2018Q4,Quintile 1 (Lowest),-1.1381
2019Q1,Quintile 1 (Lowest),-0.9442
2019Q2,Quintile 1 (Lowest),-0.9138
2019Q3,Quintile 1 (Lowest),-0.6827
2019Q4,Quintile 1 (Lowest),-0.3708
2020Q1,Quintile 1 (Lowest),0
2020Q2,Quintile 1 (Lowest),-0.5983
2020Q3,Quintile 1 (Lowest),-1.1203
2020Q4,Quintile 1 (Lowest),-1.9266
2021Q1,Quintile 1 (Lowest),-2.7213
2021Q2,Quintile 1 (Lowest),-2.4954
2021Q3,Quintile 1 (Lowest),-2.4075
2021Q4,Quintile 1 (Lowest),-2.1394
2022Q1,Quintile 1 (Lowest),-1.7091
2022Q2,Quintile 1 (Lowest),-1.2298
2022Q3,Quintile 1 (Lowest),-0.7637
2022Q4,Quintile 1 (Lowest),-0.5118
2023Q1,Quintile 1 (Lowest),-0.0275
2023Q2,Quintile 1 (Lowest),0.705
2023Q3,Quintile 1 (Lowest),1.044
2023Q4,Quintile 1 (Lowest),1.3311
2024Q1,Quintile 1 (Lowest),1.4008
2024Q2,Quintile 1 (Lowest),1.2655
2024Q3,Quintile 1 (Lowest),1.2964
2024Q4,Quintile 1 (Lowest),1.2334
2025Q1,Quintile 1 (Lowest),1.134
2025Q2,Quintile 1 (Lowest),0.8737
2025Q3,Quintile 1 (Lowest),0.7741
2025Q4,Quintile 1 (Lowest),1.1711
2026Q1,Quintile 1 (Lowest),1.4977
2026Q2,Quintile 1 (Lowest),1.6656
2026Q3,Quintile 1 (Lowest),1.6582
2015Q1,Quintile 3,-2.1853
2015Q2,Quintile 3,-2.0033
2015Q3,Quintile 3,-2.1339
2015Q4,Quintile 3,-2.1619
2016Q1,Quintile 3,-1.9569
2016Q2,Quintile 3,-1.8369
2016Q3,Quintile 3,-1.6946
2016Q4,Quintile 3,-1.5607
2017Q1,Quintile 3,-1.5044
2017Q2,Quintile 3,-1.428
2017Q3,Quintile 3,-1.2317
2017Q4,Quintile 3,-0.9457
2018Q1,Quintile 3,-0.6751
2018Q2,Quintile 3,-0.4807
2018Q3,Quintile 3,-0.5022
2018Q4,Quintile 3,-0.2917
2019Q1,Quintile 3,-0.2541
2019Q2,Quintile 3,-0.1649
2019Q3,Quintile 3,0.0569
2019Q4,Quintile 3,0.1273
2020Q1,Quintile 3,0
2020Q2,Quintile 3,-0.6775
2020Q3,Quintile 3,-1.2178
2020Q4,Quintile 3,-1.8872
2021Q1,Quintile 3,-2.0311
2021Q2,Quintile 3,-1.9603
2021Q3,Quintile 3,-1.8126
2021Q4,Quintile 3,-1.7203
2022Q1,Quintile 3,-1.7223
2022Q2,Quintile 3,-1.0943
2022Q3,Quintile 3,-0.9214
2022Q4,Quintile 3,-0.7973
2023Q1,Quintile 3,-0.4726
2023Q2,Quintile 3,-0.5308
2023Q3,Quintile 3,-0.1858
2023Q4,Quintile 3,0.1029
2024Q1,Quintile 3,0.0068
2024Q2,Quintile 3,0.2227
2024Q3,Quintile 3,0.5466
2024Q4,Quintile 3,0.6846
2025Q1,Quintile 3,0.6387
2025Q2,Quintile 3,0.7085
2025Q3,Quintile 3,0.7441
2025Q4,Quintile 3,0.6067
2026Q1,Quintile 3,0.8125
2026Q2,Quintile 3,0.7019
2026Q3,Quintile 3,0.4858
2015Q1,Quintile 5 (Highest),-0.4658
2015Q2,Quintile 5 (Highest),-0.3666
2015Q3,Quintile 5 (Highest),-0.4819
2015Q4,Quintile 5 (Highest),-0.5573
2016Q1,Quintile 5 (Highest),-0.6419
2016Q2,Quintile 5 (Highest),-0.6866
2016Q3,Quintile 5 (Highest),-0.6097
2016Q4,Quintile 5 (Highest),-0.5203
2017Q1,Quintile 5 (Highest),-0.417
2017Q2,Quintile 5 (Highest),-0.3687
2017Q3,Quintile 5 (Highest),-0.421
2017Q4,Quintile 5 (Highest),-0.4759
2018Q1,Quintile 5 (Highest),-0.4523
2018Q2,Quintile 5 (Highest),-0.4393
2018Q3,Quintile 5 (Highest),-0.3707
2018Q4,Quintile 5 (Highest),-0.1986
2019Q1,Quintile 5 (Highest),-0.1334
2019Q2,Quintile 5 (Highest),-0.083
2019Q3,Quintile 5 (Highest),-0.0879
2019Q4,Quintile 5 (Highest),-0.0915
2020Q1,Quintile 5 (Highest),0
2020Q2,Quintile 5 (Highest),-0.3492
2020Q3,Quintile 5 (Highest),-0.5437
2020Q4,Quintile 5 (Highest),-0.7047
2021Q1,Quintile 5 (Highest),-0.9647
2021Q2,Quintile 5 (Highest),-0.7995
2021Q3,Quintile 5 (Highest),-0.6085
2021Q4,Quintile 5 (Highest),-0.629
2022Q1,Quintile 5 (Highest),-0.5793
2022Q2,Quintile 5 (Highest),-0.494
2022Q3,Quintile 5 (Highest),-0.6025
2022Q4,Quintile 5 (Highest),-0.5367
2023Q1,Quintile 5 (Highest),-0.5675
2023Q2,Quintile 5 (Highest),-0.5309
2023Q3,Quintile 5 (Highest),-0.3054
2023Q4,Quintile 5 (Highest),-0.1384
2024Q1,Quintile 5 (Highest),-0.0736
2024Q2,Quintile 5 (Highest),4e-04
2024Q3,Quintile 5 (Highest),0.0278
2024Q4,Quintile 5 (Highest),-0.0572
2025Q1,Quintile 5 (Highest),0.0018
2025Q2,Quintile 5 (Highest),0.076
2025Q3,Quintile 5 (Highest),0.0888
2025Q4,Quintile 5 (Highest),0.2102
2026Q1,Quintile 5 (Highest),0.3259
2026Q2,Quintile 5 (Highest),0.26
2026Q3,Quintile 5 (Highest),0.1602
