time,value
1973-06-01,0.0
1973-07-01,0.0
1973-08-01,0.027
1973-09-01,0.059
1973-10-01,0.077
1973-11-01,0.08
1973-12-01,0.136
1974-01-01,0.271
1974-02-01,0.412
1974-03-01,0.552
1974-04-01,0.59
1974-05-01,0.587
1974-06-01,0.578
1974-07-01,0.595
1974-08-01,0.641
1974-09-01,0.694
1974-10-01,0.831
1974-11-01,1.194
1974-12-01,1.682
1975-01-01,2.146
1975-02-01,2.507
1975-03-01,2.84
1975-04-01,3.146
1975-05-01,3.492
1975-06-01,3.525
1975-07-01,3.32
1975-08-01,2.901
1975-09-01,2.63
1975-10-01,2.366
1975-11-01,1.842
1975-12-01,1.145
1976-01-01,0.125
1976-02-01,0.0
1976-03-01,0.0
1976-04-01,0.0
1976-05-01,0.062
1976-06-01,0.141
1976-07-01,0.205
1976-08-01,0.242
1976-09-01,0.287
1976-10-01,0.329
1976-11-01,0.341
1976-12-01,0.244
1977-01-01,0.058
1977-02-01,0.0
1977-03-01,0.0
1977-04-01,0.0
1977-05-01,0.0
1977-06-01,0.0
1977-07-01,0.0
1977-08-01,0.0
1977-09-01,0.0
1977-10-01,0.0
1977-11-01,0.0
1977-12-01,0.0
1978-01-01,0.0
1978-02-01,0.0
1978-03-01,0.0
1978-04-01,0.0
1978-05-01,0.0
1978-06-01,0.0
1978-07-01,0.008
1978-08-01,0.08
1978-09-01,0.084
1978-10-01,0.0
1978-11-01,0.0
1978-12-01,0.0
1979-01-01,0.036
1979-02-01,0.07
1979-03-01,0.069
1979-04-01,0.031
1979-05-01,0.0
1979-06-01,0.0
1979-07-01,0.0
1979-08-01,0.046
1979-09-01,0.087
1979-10-01,0.12
1979-11-01,0.16
1979-12-01,0.281
1980-01-01,0.371
1980-02-01,0.451
1980-03-01,0.524
1980-04-01,0.638
1980-05-01,0.955
1980-06-01,1.302
1980-07-01,1.539
1980-08-01,1.588
1980-09-01,1.472
1980-10-01,1.338
1980-11-01,1.058
1980-12-01,0.762
1981-01-01,0.435
1981-02-01,0.247
1981-03-01,0.106
1981-04-01,0.0
1981-05-01,0.0
1981-06-01,0.012
1981-07-01,0.015
1981-08-01,0.044
1981-09-01,0.085
1981-10-01,0.193
1981-11-01,0.342
1981-12-01,0.523
1982-01-01,0.692
1982-02-01,0.748
1982-03-01,0.794
1982-04-01,0.912
1982-05-01,1.105
1982-06-01,1.257
1982-07-01,1.321
1982-08-01,1.393
1982-09-01,1.501
1982-10-01,1.68
1982-11-01,1.699
1982-12-01,1.493
1983-01-01,0.946
1983-02-01,0.558
1983-03-01,0.323
1983-04-01,0.196
1983-05-01,0.0
1983-06-01,0.0
1983-07-01,0.0
1983-08-01,0.0
1983-09-01,0.0
1983-10-01,0.0
1983-11-01,0.0
1983-12-01,0.0
1984-01-01,0.0
1984-02-01,0.0
1984-03-01,0.0
1984-04-01,0.0
1984-05-01,0.0
1984-06-01,0.0
1984-07-01,0.0
1984-08-01,0.0
1984-09-01,0.035
1984-10-01,0.093
1984-11-01,0.149
1984-12-01,0.186
1985-01-01,0.172
1985-02-01,0.178
1985-03-01,0.168
1985-04-01,0.161
1985-05-01,0.13
1985-06-01,0.111
1985-07-01,0.086
1985-08-01,0.073
1985-09-01,0.063
1985-10-01,0.067
1985-11-01,0.046
1985-12-01,0.057
1986-01-01,0.038
1986-02-01,0.015
1986-03-01,0.0
1986-04-01,0.011
1986-05-01,0.045
1986-06-01,0.051
1986-07-01,0.041
1986-08-01,0.029
1986-09-01,0.048
1986-10-01,0.09
1986-11-01,0.057
1986-12-01,0.003
1987-01-01,0.0
1987-02-01,0.0
1987-03-01,0.0
1987-04-01,0.0
1987-05-01,0.0
1987-06-01,0.0
1987-07-01,0.0
1987-08-01,0.0
1987-09-01,0.0
1987-10-01,0.0
1987-11-01,0.0
1987-12-01,0.0
1988-01-01,0.064
1988-02-01,0.072
1988-03-01,0.07
1988-04-01,0.011
1988-05-01,0.0
1988-06-01,0.0
1988-07-01,0.0
1988-08-01,0.005
1988-09-01,0.013
1988-10-01,0.0
1988-11-01,0.0
1988-12-01,0.0
1989-01-01,0.03
1989-02-01,0.061
1989-03-01,0.082
1989-04-01,0.089
1989-05-01,0.072
1989-06-01,0.064
