age_bin,cohort,sex_label,mean_hours
18-21,Older Millennials,Men,0.056577321280532035
18-21,Older Millennials,Women,0.38631503094384967
18-21,Younger Millennials,Men,0.09546485227953505
18-21,Younger Millennials,Women,0.3741310304361043
22-25,Older Millennials,Men,0.2017356205952347
22-25,Older Millennials,Women,0.8550917475437383
22-25,Younger Millennials,Men,0.1259617879751094
22-25,Younger Millennials,Women,0.657875247737254
26-30,Older Millennials,Men,0.36980856449153654
26-30,Older Millennials,Women,1.2743327822502317
26-30,Younger Gen X,Men,0.42209080222920714
26-30,Younger Gen X,Women,1.377956005508323
26-30,Younger Millennials,Men,0.3289408110674368
26-30,Younger Millennials,Women,1.003776819716584
31-35,Older Millennials,Men,0.6610612976870726
31-35,Older Millennials,Women,1.6268389043732672
31-35,Younger Gen X,Men,0.6767934990390033
31-35,Younger Gen X,Women,1.5750795650026312
36-40,Older Gen X,Men,0.6660555713470299
36-40,Older Gen X,Women,1.3026898608041446
36-40,Older Millennials,Men,0.7583546374110655
36-40,Older Millennials,Women,1.4064642100676754
36-40,Younger Gen X,Men,0.740590406455498
36-40,Younger Gen X,Women,1.323862259850087
41-45,Older Gen X,Men,0.5053568455194585
41-45,Older Gen X,Women,0.860192746172696
41-45,Younger Gen X,Men,0.5323718467274026
41-45,Younger Gen X,Women,0.9131601977433758
46-50,Older Gen X,Men,0.2890280907802678
46-50,Older Gen X,Women,0.4265212610258511
51-55,Older Gen X,Men,0.1597437890308699
51-55,Older Gen X,Women,0.17661568157541296
