time,series,value
2022-11-02,<5 Weeks,64.0817
2022-11-02,15-26 Weeks,63.8434
2022-11-02,27+ Weeks,69.2309
2022-11-02,5-14 Weeks,64.6582
2022-12-02,<5 Weeks,64.7723
2022-12-02,15-26 Weeks,66.6642
2022-12-02,27+ Weeks,69.8135
2022-12-02,5-14 Weeks,63.8485
2023-01-02,<5 Weeks,66.3548
2023-01-02,15-26 Weeks,65.7469
2023-01-02,27+ Weeks,70.3869
2023-01-02,5-14 Weeks,62.6027
2023-02-02,<5 Weeks,66.5431
2023-02-02,15-26 Weeks,66.0321
2023-02-02,27+ Weeks,69.2832
2023-02-02,5-14 Weeks,63.2728
2023-03-02,<5 Weeks,64.8403
2023-03-02,15-26 Weeks,65.186
2023-03-02,27+ Weeks,66.8972
2023-03-02,5-14 Weeks,65.0178
2023-04-02,<5 Weeks,64.1623
2023-04-02,15-26 Weeks,65.6988
2023-04-02,27+ Weeks,63.6214
2023-04-02,5-14 Weeks,67.5142
2023-05-02,<5 Weeks,63.8156
2023-05-02,15-26 Weeks,66.1397
2023-05-02,27+ Weeks,63.8318
2023-05-02,5-14 Weeks,68.1628
2023-06-02,<5 Weeks,65.228
2023-06-02,15-26 Weeks,66.1514
2023-06-02,27+ Weeks,64.3853
2023-06-02,5-14 Weeks,69.2632
2023-07-02,<5 Weeks,64.2626
2023-07-02,15-26 Weeks,65.303
2023-07-02,27+ Weeks,62.615
2023-07-02,5-14 Weeks,67.7988
2023-08-02,<5 Weeks,64.3089
2023-08-02,15-26 Weeks,65.9566
2023-08-02,27+ Weeks,63.0639
2023-08-02,5-14 Weeks,66.0426
2023-09-02,<5 Weeks,64.2245
2023-09-02,15-26 Weeks,67.396
2023-09-02,27+ Weeks,62.4148
2023-09-02,5-14 Weeks,65.5601
2023-10-02,<5 Weeks,65.3128
2023-10-02,15-26 Weeks,67.654
2023-10-02,27+ Weeks,63.7315
2023-10-02,5-14 Weeks,65.6039
2023-11-02,<5 Weeks,66.0169
2023-11-02,15-26 Weeks,69.248
2023-11-02,27+ Weeks,65.0635
2023-11-02,5-14 Weeks,67.4415
2023-12-02,<5 Weeks,64.2215
2023-12-02,15-26 Weeks,70.3591
2023-12-02,27+ Weeks,67.4069
2023-12-02,5-14 Weeks,65.9676
2024-01-02,<5 Weeks,64.1501
2024-01-02,15-26 Weeks,69.4718
2024-01-02,27+ Weeks,68.3194
2024-01-02,5-14 Weeks,65.2695
2024-02-02,<5 Weeks,66.5269
2024-02-02,15-26 Weeks,68.1425
2024-02-02,27+ Weeks,66.5931
2024-02-02,5-14 Weeks,64.6444
2024-03-02,<5 Weeks,67.7431
2024-03-02,15-26 Weeks,67.2818
2024-03-02,27+ Weeks,66.5457
2024-03-02,5-14 Weeks,64.935
2024-04-02,<5 Weeks,66.7099
2024-04-02,15-26 Weeks,69.6056
2024-04-02,27+ Weeks,67.4686
2024-04-02,5-14 Weeks,67.3328
2024-05-02,<5 Weeks,62.8366
2024-05-02,15-26 Weeks,66.5894
2024-05-02,27+ Weeks,67.6972
2024-05-02,5-14 Weeks,67.0039
2024-06-02,<5 Weeks,63.914
2024-06-02,15-26 Weeks,63.2662
2024-06-02,27+ Weeks,67.4726
2024-06-02,5-14 Weeks,69.3486
2024-07-02,<5 Weeks,64.164
2024-07-02,15-26 Weeks,61.9533
