ychild_bin,cohort,sex_label,mean_hours
0-1,Older Gen X,Men,5.40617898462857
0-1,Older Gen X,Women,2.0883885213379525
0-1,Older Millennials,Men,5.338575983884121
0-1,Older Millennials,Women,2.201515328037868
0-1,Younger Gen X,Men,5.463663296208033
0-1,Younger Gen X,Women,2.2369097089962415
0-1,Younger Millennials,Men,5.163540984502149
0-1,Younger Millennials,Women,1.992295900707147
1-2,Older Gen X,Men,5.624079025451239
1-2,Older Gen X,Women,2.38311231313757
1-2,Older Millennials,Men,5.302549374149023
1-2,Older Millennials,Women,2.877827995436332
1-2,Younger Gen X,Men,5.6577825307070455
1-2,Younger Gen X,Women,2.5754225590438544
1-2,Younger Millennials,Men,4.883908053959359
1-2,Younger Millennials,Women,2.5009829189298403
3-5,Older Gen X,Men,5.478294223891824
3-5,Older Gen X,Women,2.9934070864357705
3-5,Older Millennials,Men,5.346289550897849
3-5,Older Millennials,Women,3.02788190897758
3-5,Younger Gen X,Men,5.465215530215404
3-5,Younger Gen X,Women,3.0729452984952013
3-5,Younger Millennials,Men,4.998310683587014
3-5,Younger Millennials,Women,3.0414592390477444
6-12,Older Gen X,Men,5.708277597788279
6-12,Older Gen X,Women,3.4603521696229356
6-12,Older Millennials,Men,5.583329453145195
6-12,Older Millennials,Women,3.611417677448963
6-12,Younger Gen X,Men,5.647407064440972
6-12,Younger Gen X,Women,3.729075085775812
6-12,Younger Millennials,Men,5.61226379701552
6-12,Younger Millennials,Women,3.2929216694940795
13-17,Older Gen X,Men,5.776056078582477
13-17,Older Gen X,Women,3.9016657876693226
13-17,Older Millennials,Men,5.2293972239232716
13-17,Older Millennials,Women,4.871673455552007
13-17,Younger Gen X,Men,5.6207192464473295
13-17,Younger Gen X,Women,3.7956918092268737
13-17,Younger Millennials,Men,5.550571057590414
13-17,Younger Millennials,Women,4.105849783364852
