Year,series,gdp_growth,Slow (2030),Moderate (2030),Rapid (2030)
1952,Actual,0.0471060232714327,0.02,0.026,0.033
1953,Actual,0.0481932064227072,0.02,0.026,0.033
1954,Actual,0.048155324134588,0.02,0.026,0.033
1955,Actual,0.0452694357916554,0.02,0.026,0.033
1956,Actual,0.0340137212367919,0.02,0.026,0.033
1957,Actual,0.0301756536554134,0.02,0.026,0.033
1958,Actual,0.0195240280340919,0.02,0.026,0.033
1959,Actual,0.0340856052450725,0.02,0.026,0.033
1960,Actual,0.0253858642968169,0.02,0.026,0.033
1961,Actual,0.0262320687800834,0.02,0.026,0.033
1962,Actual,0.0339627769446462,0.02,0.026,0.033
1963,Actual,0.0439819808365748,0.02,0.026,0.033
1964,Actual,0.0417836282684558,0.02,0.026,0.033
1965,Actual,0.0492919365938771,0.02,0.026,0.033
1966,Actual,0.0569998941044748,0.02,0.026,0.033
1967,Actual,0.0505131554313973,0.02,0.026,0.033
1968,Actual,0.0515782221451058,0.02,0.026,0.033
1969,Actual,0.0465220135490842,0.02,0.026,0.033
1970,Actual,0.034298846227242,0.02,0.026,0.033
1971,Actual,0.0280042781754137,0.02,0.026,0.033
1972,Actual,0.0328369431093137,0.02,0.026,0.033
1973,Actual,0.0342259040401313,0.02,0.026,0.033
1974,Actual,0.0269924308642064,0.02,0.026,0.033
1975,Actual,0.0262118967264147,0.02,0.026,0.033
1976,Actual,0.030228299284094,0.02,0.026,0.033
1977,Actual,0.029025140874279,0.02,0.026,0.033
1978,Actual,0.0288159093737978,0.02,0.026,0.033
1979,Actual,0.0361337421693598,0.02,0.026,0.033
1980,Actual,0.0360311824126086,0.02,0.026,0.033
1981,Actual,0.0305474823027172,0.02,0.026,0.033
1982,Actual,0.0178676059212435,0.02,0.026,0.033
1983,Actual,0.0160563946545672,0.02,0.026,0.033
1984,Actual,0.0237958164070871,0.02,0.026,0.033
1985,Actual,0.0324799929768449,0.02,0.026,0.033
1986,Actual,0.0342760539994622,0.02,0.026,0.033
1987,Actual,0.0447075691129953,0.02,0.026,0.033
1988,Actual,0.0439281082037663,0.02,0.026,0.033
1989,Actual,0.0371677241782276,0.02,0.026,0.033
1990,Actual,0.0327345411124181,0.02,0.026,0.033
1991,Actual,0.0257096782547688,0.02,0.026,0.033
1992,Actual,0.0258408635958997,0.02,0.026,0.033
1993,Actual,0.023085878815774,0.02,0.026,0.033
1994,Actual,0.0237729720090172,0.02,0.026,0.033
1995,Actual,0.0253342654107534,0.02,0.026,0.033
1996,Actual,0.0329576931774987,0.02,0.026,0.033
1997,Actual,0.0347360939983297,0.02,0.026,0.033
1998,Actual,0.0380779562924978,0.02,0.026,0.033
1999,Actual,0.0395326475574233,0.02,0.026,0.033
2000,Actual,0.0422278560744889,0.02,0.026,0.033
2001,Actual,0.0367231753826559,0.02,0.026,0.033
2002,Actual,0.0313933025746305,0.02,0.026,0.033
2003,Actual,0.0281367188676185,0.02,0.026,0.033
2004,Actual,0.0263332665820354,0.02,0.026,0.033
2005,Actual,0.0251884744642215,0.02,0.026,0.033
2006,Actual,0.0287794108451656,0.02,0.026,0.033
2007,Actual,0.0293752173020636,0.02,0.026,0.033
2008,Actual,0.0240877557809071,0.02,0.026,0.033
2009,Actual,0.0113160401894788,0.02,0.026,0.033
2010,Actual,0.00978656566828811,0.02,0.026,0.033
2011,Actual,0.00739821760710235,0.02,0.026,0.033
2012,Actual,0.00795672450899403,0.02,0.026,0.033
2013,Actual,0.0119211165358337,0.02,0.026,0.033
2014,Actual,0.0221266517264958,0.02,0.026,0.033
2015,Actual,0.0226136304614972,0.02,0.026,0.033
2016,Actual,0.0231152359112279,0.02,0.026,0.033
2017,Actual,0.0234444460649698,0.02,0.026,0.033
2018,Actual,0.0250997160534169,0.02,0.026,0.033
2019,Actual,0.0252167480602946,0.02,0.026,0.033
2020,Actual,0.0152040568697199,0.02,0.026,0.033
2021,Actual,0.0235382702054906,0.02,0.026,0.033
2022,Actual,0.0236682162326723,0.02,0.026,0.033
2023,Actual,0.0236057828903334,0.02,0.026,0.033
2024,Actual,0.0240135318044857,0.02,0.026,0.033
2025,Actual,0.0323891425079967,0.02,0.026,0.033
2025,CBO Projection,0.0323891425079967,0.02,0.026,0.033
2026,CBO Projection,0.024801029860323,0.02,0.026,0.033
2027,CBO Projection,0.0233832477437041,0.02,0.026,0.033
2028,CBO Projection,0.0211669660683029,0.02,0.026,0.033
2029,CBO Projection,0.0192251712311784,0.02,0.026,0.033
2030,CBO Projection,0.0186242328589671,0.02,0.026,0.033
2031,CBO Projection,0.0178399181283307,0.02,0.026,0.033
2032,CBO Projection,0.0178399181283307,0.02,0.026,0.033
2033,CBO Projection,0.0178399181283311,0.02,0.026,0.033
2034,CBO Projection,0.0178399181283311,0.02,0.026,0.033
2035,CBO Projection,0.0178399181283311,0.02,0.026,0.033
2036,CBO Projection,0.0178399181283311,0.02,0.026,0.033
