time,series,value,sex_label
18-21,"Partnered, no child <13",4.531427038962899,Men
18-21,"Partnered, no child <13",2.830934065645059,Women
18-21,"Partnered, own child <13",5.722324310233766,Men
18-21,"Partnered, own child <13",1.500945808367427,Women
18-21,"Single, no child <13",2.6529029105811235,Men
18-21,"Single, no child <13",2.221362888728151,Women
18-21,"Single, own child <13",3.43966741825955,Men
18-21,"Single, own child <13",1.9808205080552321,Women
22-25,"Partnered, no child <13",5.273642286574885,Men
22-25,"Partnered, no child <13",4.021228708937883,Women
22-25,"Partnered, own child <13",5.061496383854534,Men
22-25,"Partnered, own child <13",1.8037986826723977,Women
22-25,"Single, no child <13",4.043375792444076,Men
22-25,"Single, no child <13",4.129486425663325,Women
22-25,"Single, own child <13",4.554376795676086,Men
22-25,"Single, own child <13",3.0265792143379793,Women
26-30,"Partnered, no child <13",5.62894410017718,Men
26-30,"Partnered, no child <13",4.595679864377435,Women
26-30,"Partnered, own child <13",5.485597725281749,Men
26-30,"Partnered, own child <13",2.6100930523443617,Women
26-30,"Single, no child <13",5.128338080820618,Men
26-30,"Single, no child <13",4.654421086595297,Women
26-30,"Single, own child <13",4.727267890871701,Men
26-30,"Single, own child <13",3.432446806526084,Women
31-35,"Partnered, no child <13",5.615280053433879,Men
31-35,"Partnered, no child <13",4.34439129513173,Women
31-35,"Partnered, own child <13",5.4191665972614596,Men
31-35,"Partnered, own child <13",2.880585654506408,Women
31-35,"Single, no child <13",4.986274240781363,Men
31-35,"Single, no child <13",4.70614853407813,Women
31-35,"Single, own child <13",5.483921660855368,Men
31-35,"Single, own child <13",3.5456859469980255,Women
36-40,"Partnered, no child <13",5.43285241404471,Men
36-40,"Partnered, no child <13",4.447418453283224,Women
36-40,"Partnered, own child <13",5.596306470865215,Men
36-40,"Partnered, own child <13",3.1658201413751152,Women
36-40,"Single, no child <13",5.092661829340998,Men
36-40,"Single, no child <13",4.494857913343354,Women
36-40,"Single, own child <13",5.1541161988101765,Men
36-40,"Single, own child <13",3.7726239399494985,Women
41-45,"Partnered, no child <13",5.548498367370882,Men
41-45,"Partnered, no child <13",4.033988519253614,Women
41-45,"Partnered, own child <13",5.711748278483693,Men
41-45,"Partnered, own child <13",3.272169700706984,Women
41-45,"Single, no child <13",4.881349138340411,Men
41-45,"Single, no child <13",4.115794469111131,Women
41-45,"Single, own child <13",4.894294705694576,Men
41-45,"Single, own child <13",4.11882988592164,Women
46-50,"Partnered, no child <13",5.526819623813337,Men
46-50,"Partnered, no child <13",3.893396532350459,Women
46-50,"Partnered, own child <13",5.510074040169216,Men
46-50,"Partnered, own child <13",3.3455362239432747,Women
46-50,"Single, no child <13",4.567500680383462,Men
46-50,"Single, no child <13",4.099249530320098,Women
46-50,"Single, own child <13",5.595991510594014,Men
46-50,"Single, own child <13",3.9978445575563644,Women
51-55,"Partnered, no child <13",5.396740418340784,Men
51-55,"Partnered, no child <13",3.6653529733486794,Women
51-55,"Partnered, own child <13",5.36316415556102,Men
51-55,"Partnered, own child <13",3.473018527579071,Women
51-55,"Single, no child <13",4.116583383583808,Men
51-55,"Single, no child <13",4.1173571025336955,Women
51-55,"Single, own child <13",5.119933442860404,Men
51-55,"Single, own child <13",3.9065114659018083,Women
