ai_speed,share_mode,labor_dist,Scenario,decile,pretax_base_d_B,pretax_cf_d_B,tax_base_d_B,tax_cf_d_B,dY_factor_d_B,atr_base,atr_cf_std,dATR
Moderate,Reallocated,Proportional,Moderate AI · Reallocated shares · Proportional labor,1,-542.934369809947,-541.186839094373,10.1634780492893,10.231704661376,4.93282580759551,-0.0187195333624707,-0.0189060485626329,-0.000186515200162194
Moderate,Reallocated,Proportional,Moderate AI · Reallocated shares · Proportional labor,2,388.015540628305,389.404928707417,-22.1320199327549,-22.1071293786188,3.73711427320941,-0.0570390038938054,-0.056771570539697,0.000267433354108421
Moderate,Reallocated,Proportional,Moderate AI · Reallocated shares · Proportional labor,3,561.153333258383,563.521051089097,-28.3209534736833,-28.1994105760795,4.96649151321292,-0.0504691887139569,-0.0500414501314183,0.000427738582538591
Moderate,Reallocated,Proportional,Moderate AI · Reallocated shares · Proportional labor,4,820.169437223817,825.403189936321,-11.9244988869571,-11.4781676929823,8.23800074739656,-0.0145390675947646,-0.0139061343994416,0.000632933195322982
Moderate,Reallocated,Proportional,Moderate AI · Reallocated shares · Proportional labor,5,1092.09465240244,1099.96809318682,25.8751535659036,26.7877728247676,12.0742934892872,0.0236931418984446,0.0243532271442149,0.00066008524577028
Moderate,Reallocated,Proportional,Moderate AI · Reallocated shares · Proportional labor,6,1431.3633583382,1444.93248117113,69.7612385491509,71.5964955593766,16.9469317494115,0.0487376165826566,0.0495500630599342,0.000812446477277552
Moderate,Reallocated,Proportional,Moderate AI · Reallocated shares · Proportional labor,7,1878.29534636384,1896.09950679296,121.053987882839,123.964657638373,21.3771193190147,0.0644488568409571,0.0653787721552891,0.00092991531433205
Moderate,Reallocated,Proportional,Moderate AI · Reallocated shares · Proportional labor,8,2601.56180865961,2629.46108682173,208.271689492574,212.527529826021,32.8120623196846,0.0800564064245242,0.0808255086531462,0.000769102228622018
Moderate,Reallocated,Proportional,Moderate AI · Reallocated shares · Proportional labor,9,3791.68208048503,3849.88434871667,402.378381436465,414.299876266921,54.6280517434375,0.106121339525647,0.107613590108239,0.00149225058259175
Moderate,Reallocated,Proportional,Moderate AI · Reallocated shares · Proportional labor,10,11740.8308088609,11967.6526776531,2177.01364224858,2232.0334604589,244.22959702204,0.185422452438849,0.186505534592153,0.00108308215330408
