date,series,value
2015-01-01,Bachelor's degree or more,-1.0225
2015-02-01,Bachelor's degree or more,-1.0387
2015-03-01,Bachelor's degree or more,-1.042
2015-04-01,Bachelor's degree or more,-1.043
2015-05-01,Bachelor's degree or more,-1.0434
2015-06-01,Bachelor's degree or more,-1.0535
2015-07-01,Bachelor's degree or more,-1.013
2015-08-01,Bachelor's degree or more,-1.0253
2015-09-01,Bachelor's degree or more,-1.0328
2015-10-01,Bachelor's degree or more,-1.0448
2015-11-01,Bachelor's degree or more,-1.0461
2015-12-01,Bachelor's degree or more,-1.0289
2016-01-01,Bachelor's degree or more,-1.0164
2016-02-01,Bachelor's degree or more,-1.0127
2016-03-01,Bachelor's degree or more,-0.9604
2016-04-01,Bachelor's degree or more,-0.94
2016-05-01,Bachelor's degree or more,-0.9593
2016-06-01,Bachelor's degree or more,-0.9273
2016-07-01,Bachelor's degree or more,-0.9461
2016-08-01,Bachelor's degree or more,-0.913
2016-09-01,Bachelor's degree or more,-0.843
2016-10-01,Bachelor's degree or more,-0.7868
2016-11-01,Bachelor's degree or more,-0.7744
2016-12-01,Bachelor's degree or more,-0.7788
2017-01-01,Bachelor's degree or more,-0.7543
2017-02-01,Bachelor's degree or more,-0.7433
2017-03-01,Bachelor's degree or more,-0.7683
2017-04-01,Bachelor's degree or more,-0.7725
2017-05-01,Bachelor's degree or more,-0.7488
2017-06-01,Bachelor's degree or more,-0.7457
2017-07-01,Bachelor's degree or more,-0.6645
2017-08-01,Bachelor's degree or more,-0.6532
2017-09-01,Bachelor's degree or more,-0.6279
2017-10-01,Bachelor's degree or more,-0.6524
2017-11-01,Bachelor's degree or more,-0.6623
2017-12-01,Bachelor's degree or more,-0.6784
2018-01-01,Bachelor's degree or more,-0.724
2018-02-01,Bachelor's degree or more,-0.6902
2018-03-01,Bachelor's degree or more,-0.6682
2018-04-01,Bachelor's degree or more,-0.6621
2018-05-01,Bachelor's degree or more,-0.6306
2018-06-01,Bachelor's degree or more,-0.5962
2018-07-01,Bachelor's degree or more,-0.5871
2018-08-01,Bachelor's degree or more,-0.5205
2018-09-01,Bachelor's degree or more,-0.5157
2018-10-01,Bachelor's degree or more,-0.4751
2018-11-01,Bachelor's degree or more,-0.3967
2018-12-01,Bachelor's degree or more,-0.3157
2019-01-01,Bachelor's degree or more,-0.2234
2019-02-01,Bachelor's degree or more,-0.1753
2019-03-01,Bachelor's degree or more,-0.1639
2019-04-01,Bachelor's degree or more,-0.1641
2019-05-01,Bachelor's degree or more,-0.1678
2019-06-01,Bachelor's degree or more,-0.1631
2019-07-01,Bachelor's degree or more,-0.2184
2019-08-01,Bachelor's degree or more,-0.2287
2019-09-01,Bachelor's degree or more,-0.2056
2019-10-01,Bachelor's degree or more,-0.1566
2019-11-01,Bachelor's degree or more,-0.0965
2019-12-01,Bachelor's degree or more,-0.0474
2020-01-01,Bachelor's degree or more,0
2020-02-01,Bachelor's degree or more,0.0234
2020-03-01,Bachelor's degree or more,0.0499
2020-04-01,Bachelor's degree or more,-0.0921
2020-05-01,Bachelor's degree or more,-0.2178
2020-06-01,Bachelor's degree or more,-0.2675
2020-07-01,Bachelor's degree or more,-0.3172
2020-08-01,Bachelor's degree or more,-0.3913
2020-09-01,Bachelor's degree or more,-0.4943
2020-10-01,Bachelor's degree or more,-0.574
2020-11-01,Bachelor's degree or more,-0.6921
2020-12-01,Bachelor's degree or more,-0.7983
2021-01-01,Bachelor's degree or more,-0.8828
2021-02-01,Bachelor's degree or more,-0.9673
2021-03-01,Bachelor's degree or more,-1.005
2021-04-01,Bachelor's degree or more,-0.8692
2021-05-01,Bachelor's degree or more,-0.7561
2021-06-01,Bachelor's degree or more,-0.7093
2021-07-01,Bachelor's degree or more,-0.6031
2021-08-01,Bachelor's degree or more,-0.5418
2021-09-01,Bachelor's degree or more,-0.4918
2021-10-01,Bachelor's degree or more,-0.5079
2021-11-01,Bachelor's degree or more,-0.4739
2021-12-01,Bachelor's degree or more,-0.4082
2022-01-01,Bachelor's degree or more,-0.3728
2022-02-01,Bachelor's degree or more,-0.322
2022-03-01,Bachelor's degree or more,-0.2782
2022-04-01,Bachelor's degree or more,-0.2159
2022-05-01,Bachelor's degree or more,-0.1535
2022-06-01,Bachelor's degree or more,-0.123
2022-07-01,Bachelor's degree or more,-0.0869
2022-08-01,Bachelor's degree or more,-0.0154
2022-09-01,Bachelor's degree or more,0.0376
2022-10-01,Bachelor's degree or more,0.1224
2022-11-01,Bachelor's degree or more,0.1692
2022-12-01,Bachelor's degree or more,0.1915
2023-01-01,Bachelor's degree or more,0.2505
2023-02-01,Bachelor's degree or more,0.3397
2023-03-01,Bachelor's degree or more,0.4192
2023-04-01,Bachelor's degree or more,0.486
2023-05-01,Bachelor's degree or more,0.5189
2023-06-01,Bachelor's degree or more,0.5626
2023-07-01,Bachelor's degree or more,0.6204
2023-08-01,Bachelor's degree or more,0.6502
2023-09-01,Bachelor's degree or more,0.7164
2023-10-01,Bachelor's degree or more,0.7538
2023-11-01,Bachelor's degree or more,0.7974
2023-12-01,Bachelor's degree or more,0.81
2024-01-01,Bachelor's degree or more,0.8281
2024-02-01,Bachelor's degree or more,0.8047
2024-03-01,Bachelor's degree or more,0.7544
2024-04-01,Bachelor's degree or more,0.7427
2024-05-01,Bachelor's degree or more,0.7606
2024-06-01,Bachelor's degree or more,0.783
2024-07-01,Bachelor's degree or more,0.8086
2024-08-01,Bachelor's degree or more,0.8565
2024-09-01,Bachelor's degree or more,0.8822
2024-10-01,Bachelor's degree or more,0.9193
2024-11-01,Bachelor's degree or more,0.9322
2024-12-01,Bachelor's degree or more,0.9411
2025-01-01,Bachelor's degree or more,0.9489
2025-02-01,Bachelor's degree or more,0.9723
2025-03-01,Bachelor's degree or more,0.9952
2025-04-01,Bachelor's degree or more,0.9861
2025-05-01,Bachelor's degree or more,0.9395
2025-06-01,Bachelor's degree or more,0.897
2025-07-01,Bachelor's degree or more,0.8048
2025-08-01,Bachelor's degree or more,0.7
2025-09-01,Bachelor's degree or more,0.6539
2025-10-01,Bachelor's degree or more,
2025-11-01,Bachelor's degree or more,0.6019
2025-12-01,Bachelor's degree or more,0.676
2026-01-01,Bachelor's degree or more,0.7558
2026-02-01,Bachelor's degree or more,0.7625
2026-03-01,Bachelor's degree or more,0.7682
2026-04-01,Bachelor's degree or more,0.8025
2026-05-01,Bachelor's degree or more,0.8642
2026-06-01,Bachelor's degree or more,0.8915
2026-07-01,Bachelor's degree or more,0.913
2026-08-01,Bachelor's degree or more,0.9478
2015-01-01,High school or less,-1.3175
2015-02-01,High school or less,-1.3779
2015-03-01,High school or less,-1.456
2015-04-01,High school or less,-1.4934
2015-05-01,High school or less,-1.5032
2015-06-01,High school or less,-1.5284
2015-07-01,High school or less,-1.5969
2015-08-01,High school or less,-1.6497
2015-09-01,High school or less,-1.6967
2015-10-01,High school or less,-1.7031
2015-11-01,High school or less,-1.7141
2015-12-01,High school or less,-1.7382
2016-01-01,High school or less,-1.7294
2016-02-01,High school or less,-1.7098
2016-03-01,High school or less,-1.629
2016-04-01,High school or less,-1.5687
2016-05-01,High school or less,-1.5711
2016-06-01,High school or less,-1.526
2016-07-01,High school or less,-1.4472
2016-08-01,High school or less,-1.3691
2016-09-01,High school or less,-1.3008
2016-10-01,High school or less,-1.2431
2016-11-01,High school or less,-1.2019
2016-12-01,High school or less,-1.1636
2017-01-01,High school or less,-1.1459
2017-02-01,High school or less,-1.1106
2017-03-01,High school or less,-1.1427
2017-04-01,High school or less,-1.1143
2017-05-01,High school or less,-1.0382
2017-06-01,High school or less,-0.9711
2017-07-01,High school or less,-0.9228
2017-08-01,High school or less,-0.9204
2017-09-01,High school or less,-0.8929
2017-10-01,High school or less,-0.9081
2017-11-01,High school or less,-0.8712
2017-12-01,High school or less,-0.801
2018-01-01,High school or less,-0.7686
2018-02-01,High school or less,-0.7017
2018-03-01,High school or less,-0.6407
2018-04-01,High school or less,-0.6108
2018-05-01,High school or less,-0.6236
2018-06-01,High school or less,-0.6196
2018-07-01,High school or less,-0.6005
2018-08-01,High school or less,-0.5976
2018-09-01,High school or less,-0.5755
2018-10-01,High school or less,-0.4526
2018-11-01,High school or less,-0.3782
2018-12-01,High school or less,-0.3238
2019-01-01,High school or less,-0.2341
2019-02-01,High school or less,-0.2248
2019-03-01,High school or less,-0.2016
2019-04-01,High school or less,-0.2243
2019-05-01,High school or less,-0.25
2019-06-01,High school or less,-0.2833
2019-07-01,High school or less,-0.3346
2019-08-01,High school or less,-0.2721
2019-09-01,High school or less,-0.1769
2019-10-01,High school or less,-0.1508
2019-11-01,High school or less,-0.1218
2019-12-01,High school or less,-0.0329
2020-01-01,High school or less,0
2020-02-01,High school or less,0.0361
2020-03-01,High school or less,-0.0017
2020-04-01,High school or less,-0.3585
2020-05-01,High school or less,-0.5836
2020-06-01,High school or less,-0.7629
2020-07-01,High school or less,-0.8582
2020-08-01,High school or less,-0.998
2020-09-01,High school or less,-1.2507
2020-10-01,High school or less,-1.4076
2020-11-01,High school or less,-1.6209
2020-12-01,High school or less,-1.8961
2021-01-01,High school or less,-2.1594
2021-02-01,High school or less,-2.3957
2021-03-01,High school or less,-2.5746
2021-04-01,High school or less,-2.3989
2021-05-01,High school or less,-2.3215
2021-06-01,High school or less,-2.244
2021-07-01,High school or less,-2.2255
2021-08-01,High school or less,-2.1676
2021-09-01,High school or less,-2.0752
2021-10-01,High school or less,-2.0578
2021-11-01,High school or less,-1.9711
2021-12-01,High school or less,-1.9128
2022-01-01,High school or less,-1.7844
2022-02-01,High school or less,-1.6663
2022-03-01,High school or less,-1.4753
2022-04-01,High school or less,-1.359
2022-05-01,High school or less,-1.2101
2022-06-01,High school or less,-1.1269
2022-07-01,High school or less,-1.0631
2022-08-01,High school or less,-0.9557
2022-09-01,High school or less,-0.8493
2022-10-01,High school or less,-0.7884
2022-11-01,High school or less,-0.7772
2022-12-01,High school or less,-0.678
2023-01-01,High school or less,-0.596
2023-02-01,High school or less,-0.4566
2023-03-01,High school or less,-0.3607
2023-04-01,High school or less,-0.2026
2023-05-01,High school or less,-0.076
2023-06-01,High school or less,0.0855
2023-07-01,High school or less,0.1598
2023-08-01,High school or less,0.1817
2023-09-01,High school or less,0.2215
2023-10-01,High school or less,0.2995
2023-11-01,High school or less,0.4157
2023-12-01,High school or less,0.4831
2024-01-01,High school or less,0.5152
2024-02-01,High school or less,0.5201
2024-03-01,High school or less,0.5409
2024-04-01,High school or less,0.5396
2024-05-01,High school or less,0.5438
2024-06-01,High school or less,0.5662
2024-07-01,High school or less,0.6778
2024-08-01,High school or less,0.6996
2024-09-01,High school or less,0.7038
2024-10-01,High school or less,0.6782
2024-11-01,High school or less,0.6439
2024-12-01,High school or less,0.649
2025-01-01,High school or less,0.6753
2025-02-01,High school or less,0.6406
2025-03-01,High school or less,0.5972
2025-04-01,High school or less,0.5898
2025-05-01,High school or less,0.5498
2025-06-01,High school or less,0.5054
2025-07-01,High school or less,0.4308
2025-08-01,High school or less,0.495
2025-09-01,High school or less,0.5355
2025-10-01,High school or less,
2025-11-01,High school or less,0.7061
2025-12-01,High school or less,0.7257
2026-01-01,High school or less,0.7631
2026-02-01,High school or less,0.8486
2026-03-01,High school or less,0.964
2026-04-01,High school or less,1.0324
2026-05-01,High school or less,1.0909
2026-06-01,High school or less,1.0297
2026-07-01,High school or less,1.0291
2026-08-01,High school or less,0.9459
2015-01-01,Some college or associate,-1.6204
2015-02-01,Some college or associate,-1.5971
2015-03-01,Some college or associate,-1.5471
2015-04-01,Some college or associate,-1.4688
2015-05-01,Some college or associate,-1.3793
2015-06-01,Some college or associate,-1.3494
2015-07-01,Some college or associate,-1.3869
2015-08-01,Some college or associate,-1.435
2015-09-01,Some college or associate,-1.4393
2015-10-01,Some college or associate,-1.4511
2015-11-01,Some college or associate,-1.4007
2015-12-01,Some college or associate,-1.3336
2016-01-01,Some college or associate,-1.2741
2016-02-01,Some college or associate,-1.222
2016-03-01,Some college or associate,-1.2465
2016-04-01,Some college or associate,-1.2794
2016-05-01,Some college or associate,-1.2906
2016-06-01,Some college or associate,-1.3033
2016-07-01,Some college or associate,-1.245
2016-08-01,Some college or associate,-1.2253
2016-09-01,Some college or associate,-1.1511
2016-10-01,Some college or associate,-1.0976
2016-11-01,Some college or associate,-1.0899
2016-12-01,Some college or associate,-1.0585
2017-01-01,Some college or associate,-1.0641
2017-02-01,Some college or associate,-1.0321
2017-03-01,Some college or associate,-0.9551
2017-04-01,Some college or associate,-0.9082
2017-05-01,Some college or associate,-0.9267
2017-06-01,Some college or associate,-0.9325
2017-07-01,Some college or associate,-0.9444
2017-08-01,Some college or associate,-0.9184
2017-09-01,Some college or associate,-0.9303
2017-10-01,Some college or associate,-0.9211
2017-11-01,Some college or associate,-0.8451
2017-12-01,Some college or associate,-0.8098
2018-01-01,Some college or associate,-0.76
2018-02-01,Some college or associate,-0.7326
2018-03-01,Some college or associate,-0.74
2018-04-01,Some college or associate,-0.7049
2018-05-01,Some college or associate,-0.6364
2018-06-01,Some college or associate,-0.5663
2018-07-01,Some college or associate,-0.5382
2018-08-01,Some college or associate,-0.5115
2018-09-01,Some college or associate,-0.5011
2018-10-01,Some college or associate,-0.4499
2018-11-01,Some college or associate,-0.4397
2018-12-01,Some college or associate,-0.3968
2019-01-01,Some college or associate,-0.363
2019-02-01,Some college or associate,-0.3332
2019-03-01,Some college or associate,-0.2931
2019-04-01,Some college or associate,-0.2851
2019-05-01,Some college or associate,-0.2581
2019-06-01,Some college or associate,-0.2468
2019-07-01,Some college or associate,-0.193
2019-08-01,Some college or associate,-0.1198
2019-09-01,Some college or associate,-0.0767
2019-10-01,Some college or associate,-0.042
2019-11-01,Some college or associate,-0.0057
2019-12-01,Some college or associate,-0.0094
2020-01-01,Some college or associate,0
2020-02-01,Some college or associate,-0.0301
2020-03-01,Some college or associate,-0.0806
2020-04-01,Some college or associate,-0.3018
2020-05-01,Some college or associate,-0.4911
2020-06-01,Some college or associate,-0.5746
2020-07-01,Some college or associate,-0.7295
2020-08-01,Some college or associate,-0.9164
2020-09-01,Some college or associate,-1.0573
2020-10-01,Some college or associate,-1.2533
2020-11-01,Some college or associate,-1.4546
2020-12-01,Some college or associate,-1.5987
2021-01-01,Some college or associate,-1.7727
2021-02-01,Some college or associate,-1.9245
2021-03-01,Some college or associate,-1.9848
2021-04-01,Some college or associate,-1.9292
2021-05-01,Some college or associate,-1.951
2021-06-01,Some college or associate,-2.0584
2021-07-01,Some college or associate,-2.07
2021-08-01,Some college or associate,-2.0504
2021-09-01,Some college or associate,-2.0427
2021-10-01,Some college or associate,-1.9651
2021-11-01,Some college or associate,-1.8979
2021-12-01,Some college or associate,-1.8867
2022-01-01,Some college or associate,-1.8537
2022-02-01,Some college or associate,-1.7299
2022-03-01,Some college or associate,-1.6771
2022-04-01,Some college or associate,-1.5267
2022-05-01,Some college or associate,-1.3567
2022-06-01,Some college or associate,-1.2278
2022-07-01,Some college or associate,-1.1603
2022-08-01,Some college or associate,-1.0762
2022-09-01,Some college or associate,-1.0275
2022-10-01,Some college or associate,-1.0069
2022-11-01,Some college or associate,-0.9539
2022-12-01,Some college or associate,-0.944
2023-01-01,Some college or associate,-0.7909
2023-02-01,Some college or associate,-0.7044
2023-03-01,Some college or associate,-0.6052
2023-04-01,Some college or associate,-0.5432
2023-05-01,Some college or associate,-0.5077
2023-06-01,Some college or associate,-0.4327
2023-07-01,Some college or associate,-0.337
2023-08-01,Some college or associate,-0.2524
2023-09-01,Some college or associate,-0.1251
2023-10-01,Some college or associate,-0.0569
2023-11-01,Some college or associate,-0.0271
2023-12-01,Some college or associate,0.0527
2024-01-01,Some college or associate,-0.0161
2024-02-01,Some college or associate,-0.0116
2024-03-01,Some college or associate,0.0057
2024-04-01,Some college or associate,0.0179
2024-05-01,Some college or associate,0.0412
2024-06-01,Some college or associate,0.0396
2024-07-01,Some college or associate,0.107
2024-08-01,Some college or associate,0.1508
2024-09-01,Some college or associate,0.2395
2024-10-01,Some college or associate,0.2576
2024-11-01,Some college or associate,0.2868
2024-12-01,Some college or associate,0.283
2025-01-01,Some college or associate,0.3055
2025-02-01,Some college or associate,0.31
2025-03-01,Some college or associate,0.2741
2025-04-01,Some college or associate,0.2888
2025-05-01,Some college or associate,0.3063
2025-06-01,Some college or associate,0.41
2025-07-01,Some college or associate,0.4638
2025-08-01,Some college or associate,0.5384
2025-09-01,Some college or associate,0.4761
2025-10-01,Some college or associate,
2025-11-01,Some college or associate,0.4547
2025-12-01,Some college or associate,0.4471
2026-01-01,Some college or associate,0.4886
2026-02-01,Some college or associate,0.4984
2026-03-01,Some college or associate,0.5119
2026-04-01,Some college or associate,0.452
2026-05-01,Some college or associate,0.4341
2026-06-01,Some college or associate,0.2592
2026-07-01,Some college or associate,0.1424
2026-08-01,Some college or associate,-0.0236
