time,series,value,sex_label
0-1,"Partnered, own child <18",1.7180651882187923,Men
0-1,"Partnered, own child <18",3.867154140737819,Women
0-1,"Single, own child <18",1.3186695142668636,Men
0-1,"Single, own child <18",3.0586689707638093,Women
1-2,"Partnered, own child <18",1.4801102917369673,Men
1-2,"Partnered, own child <18",2.780289830592243,Women
1-2,"Single, own child <18",1.3500244939891888,Men
1-2,"Single, own child <18",2.3157838936709303,Women
3-5,"Partnered, own child <18",1.1712839758734732,Men
3-5,"Partnered, own child <18",2.018193157404206,Women
3-5,"Single, own child <18",1.063974967586306,Men
3-5,"Single, own child <18",1.6467959348735042,Women
6-12,"Partnered, own child <18",0.6871011254453763,Men
6-12,"Partnered, own child <18",1.2826782008087885,Women
6-12,"Single, own child <18",0.8947836213700027,Men
6-12,"Single, own child <18",1.123488370927884,Women
13-17,"Partnered, own child <18",0.2544584827100326,Men
13-17,"Partnered, own child <18",0.48423932843981665,Women
13-17,"Single, own child <18",0.26205347015325803,Men
13-17,"Single, own child <18",0.49132893046210485,Women
