group,variant,measure,window,value
As written,Base,Budget Effect,2025-34,-3423
As written,Base,Budget Effect,2035-44,-4435
As written,Base,Budget Effect,2045-55,-7444
As written,Base,Change in Interest Outlays,2025-34,653
As written,Base,Change in Interest Outlays,2035-44,2410
As written,Base,Change in Interest Outlays,2045-55,6602
As written,With tariff revenue,Budget Effect,2025-34,-913
As written,With tariff revenue,Budget Effect,2035-44,-1070
As written,With tariff revenue,Budget Effect,2045-55,-3122
As written,With tariff revenue,Change in Interest Outlays,2025-34,253
As written,With tariff revenue,Change in Interest Outlays,2035-44,616
As written,With tariff revenue,Change in Interest Outlays,2045-55,1912
Permanent,Base,Budget Effect,2025-34,-5019
Permanent,Base,Budget Effect,2035-44,-7387
Permanent,Base,Budget Effect,2045-55,-11276
Permanent,Base,Change in Interest Outlays,2025-34,781
Permanent,Base,Change in Interest Outlays,2035-44,3651
Permanent,Base,Change in Interest Outlays,2045-55,10160
Permanent,With tariff revenue,Budget Effect,2025-34,-2509
Permanent,With tariff revenue,Budget Effect,2035-44,-4022
Permanent,With tariff revenue,Budget Effect,2045-55,-6954
Permanent,With tariff revenue,Change in Interest Outlays,2025-34,381
Permanent,With tariff revenue,Change in Interest Outlays,2035-44,1857
Permanent,With tariff revenue,Change in Interest Outlays,2045-55,5470
