time,value
1968-04-01,0.0
1968-05-01,0.0
1968-06-01,0.0
1968-07-01,0.0
1968-08-01,0.383
1968-09-01,0.0
1968-10-01,0.0
1968-11-01,0.0
1968-12-01,0.83
1969-01-01,2.627
1969-02-01,4.312
1969-03-01,4.057
1969-04-01,2.428
1969-05-01,0.0
1969-06-01,0.0
1969-07-01,2.276
1969-08-01,5.65
1969-09-01,7.687
1969-10-01,8.157
1969-11-01,11.737
1969-12-01,17.189
1970-01-01,26.971
1970-02-01,34.461
1970-03-01,41.166
1970-04-01,49.934
1970-05-01,66.471
1970-06-01,77.483
1970-07-01,83.073
1970-08-01,81.007
1970-09-01,82.696
1970-10-01,92.47
1970-11-01,100.113
1970-12-01,96.815
1971-01-01,78.964
1971-02-01,63.145
1971-03-01,53.561
1971-04-01,47.309
1971-05-01,36.132
1971-06-01,26.782
1971-07-01,17.618
1971-08-01,16.008
1971-09-01,14.224
1971-10-01,9.681
1971-11-01,4.087
1971-12-01,1.727
1972-01-01,0.0
1972-02-01,0.0
1972-03-01,0.0
1972-04-01,0.0
1972-05-01,0.0
1972-06-01,0.0
1972-07-01,1.468
1972-08-01,0.525
1972-09-01,0.0
1972-10-01,0.0
1972-11-01,0.0
1972-12-01,0.0
1973-01-01,0.0
1973-02-01,0.0
1973-03-01,0.0
1973-04-01,0.0
1973-05-01,0.0
1973-06-01,0.219
1973-07-01,1.285
1973-08-01,3.565
1973-09-01,6.06
1973-10-01,7.248
1973-11-01,7.875
1973-12-01,10.562
1974-01-01,16.767
1974-02-01,23.201
1974-03-01,29.663
1974-04-01,31.842
1974-05-01,32.382
1974-06-01,32.687
1974-07-01,33.087
1974-08-01,33.851
1974-09-01,34.44
1974-10-01,39.121
1974-11-01,52.917
1974-12-01,71.325
1975-01-01,86.708
1975-02-01,95.116
1975-03-01,100.174
1975-04-01,107.322
1975-05-01,116.861
1975-06-01,117.614
1975-07-01,110.561
1975-08-01,95.568
1975-09-01,85.1
1975-10-01,74.221
1975-11-01,53.777
1975-12-01,30.89
1976-01-01,4.004
1976-02-01,0.0
1976-03-01,0.0
1976-04-01,0.0
1976-05-01,1.148
1976-06-01,2.838
1976-07-01,4.202
1976-08-01,4.98
1976-09-01,5.953
1976-10-01,7.226
1976-11-01,7.754
1976-12-01,5.708
1977-01-01,1.909
1977-02-01,0.0
1977-03-01,0.0
1977-04-01,0.0
1977-05-01,0.0
1977-06-01,0.0
1977-07-01,0.0
1977-08-01,0.0
1977-09-01,0.0
1977-10-01,0.0
1977-11-01,0.0
1977-12-01,0.0
1978-01-01,0.0
1978-02-01,0.07
1978-03-01,0.236
1978-04-01,0.0
1978-05-01,0.0
1978-06-01,0.0
1978-07-01,0.668
1978-08-01,3.251
1978-09-01,3.67
1978-10-01,1.941
1978-11-01,0.0
1978-12-01,0.862
1979-01-01,3.246
1979-02-01,5.866
1979-03-01,7.276
1979-04-01,7.347
1979-05-01,4.884
1979-06-01,2.69
1979-07-01,2.377
1979-08-01,5.466
1979-09-01,8.358
1979-10-01,10.119
1979-11-01,12.175
1979-12-01,17.207
1980-01-01,19.684
1980-02-01,22.092
1980-03-01,25.239
1980-04-01,29.86
1980-05-01,42.228
1980-06-01,55.564
1980-07-01,64.883
1980-08-01,65.158
1980-09-01,58.023
1980-10-01,51.951
1980-11-01,40.859
1980-12-01,29.346
1981-01-01,17.125
1981-02-01,10.364
1981-03-01,5.473
1981-04-01,1.305
1981-05-01,0.0
1981-06-01,0.298
1981-07-01,0.443
1981-08-01,1.279
1981-09-01,2.523
1981-10-01,5.774
1981-11-01,10.281
1981-12-01,15.76
1982-01-01,21.025
1982-02-01,22.871
1982-03-01,24.361
1982-04-01,28.159
1982-05-01,34.286
1982-06-01,39.071
1982-07-01,40.95
1982-08-01,43.053
1982-09-01,46.105
1982-10-01,50.192
1982-11-01,49.287
1982-12-01,41.425
1983-01-01,24.92
1983-02-01,14.138
1983-03-01,7.954
1983-04-01,4.372
1983-05-01,0.0
1983-06-01,0.0
1983-07-01,0.0
1983-08-01,0.0
1983-09-01,0.0
1983-10-01,0.0
1983-11-01,0.0
1983-12-01,0.0
1984-01-01,0.0
1984-02-01,0.0
1984-03-01,0.0
1984-04-01,0.0
1984-05-01,0.0
1984-06-01,0.0
1984-07-01,0.0
1984-08-01,0.191
1984-09-01,1.752
1984-10-01,4.324
1984-11-01,6.858
1984-12-01,8.684
1985-01-01,8.649
1985-02-01,9.378
1985-03-01,9.459
1985-04-01,9.696
1985-05-01,9.024
1985-06-01,8.808
1985-07-01,8.249
1985-08-01,8.238
1985-09-01,7.826
1985-10-01,7.996
1985-11-01,5.306
1985-12-01,3.695
1986-01-01,2.963
1986-02-01,2.377
1986-03-01,1.392
1986-04-01,1.988
1986-05-01,3.425
1986-06-01,3.818
1986-07-01,3.661
1986-08-01,3.407
1986-09-01,4.031
1986-10-01,5.072
1986-11-01,3.709
1986-12-01,1.877
1987-01-01,0.0
1987-02-01,0.0
1987-03-01,0.0
1987-04-01,0.0
1987-05-01,0.0
1987-06-01,0.0
1987-07-01,0.0
1987-08-01,0.0
1987-09-01,0.0
1987-10-01,0.0
1987-11-01,0.0
1987-12-01,0.0
1988-01-01,3.249
1988-02-01,3.917
1988-03-01,3.977
1988-04-01,1.492
1988-05-01,0.438
1988-06-01,0.0
1988-07-01,0.065
1988-08-01,0.653
1988-09-01,1.205
1988-10-01,0.0
1988-11-01,0.0
1988-12-01,0.012
1989-01-01,1.754
1989-02-01,3.557
1989-03-01,4.829
1989-04-01,5.56
1989-05-01,5.074
1989-06-01,4.9
1989-07-01,6.691
1989-08-01,8.465
1989-09-01,9.837
1989-10-01,11.212
1989-11-01,12.658
1989-12-01,13.909
1990-01-01,14.38
1990-02-01,14.017
1990-03-01,12.665
1990-04-01,12.631
1990-05-01,13.119
1990-06-01,14.555
1990-07-01,15.051
1990-08-01,15.028
1990-09-01,15.717
1990-10-01,18.666
1990-11-01,22.392
1990-12-01,27.089
1991-01-01,30.837
1991-02-01,34.281
1991-03-01,40.067
1991-04-01,44.447
1991-05-01,46.362
1991-06-01,45.006
1991-07-01,40.868
1991-08-01,35.599
1991-09-01,31.775
1991-10-01,29.617
1991-11-01,23.917
1991-12-01,18.555
1992-01-01,14.477
1992-02-01,9.27
1992-03-01,4.572
1992-04-01,1.049
1992-05-01,1.464
1992-06-01,0.998
1992-07-01,0.0
1992-08-01,0.0
1992-09-01,0.0
1992-10-01,0.0
1992-11-01,0.0
1992-12-01,0.0
1993-01-01,0.0
1993-02-01,0.0
1993-03-01,0.0
1993-04-01,0.827
1993-05-01,2.834
1993-06-01,4.24
1993-07-01,4.159
1993-08-01,4.407
1993-09-01,4.843
1993-10-01,5.222
1993-11-01,5.331
1993-12-01,4.407
1994-01-01,2.541
1994-02-01,2.535
1994-03-01,2.964
1994-04-01,2.772
1994-05-01,0.682
1994-06-01,0.0
1994-07-01,0.0
1994-08-01,0.0
1994-09-01,0.0
1994-10-01,0.0
1994-11-01,0.0
1994-12-01,0.0
1995-01-01,0.0
1995-02-01,0.0
1995-03-01,0.083
1995-04-01,0.255
1995-05-01,0.967
1995-06-01,2.079
1995-07-01,3.622
1995-08-01,3.834
1995-09-01,4.059
1995-10-01,4.701
1995-11-01,5.489
1995-12-01,5.128
1996-01-01,4.943
1996-02-01,5.304
1996-03-01,6.747
1996-04-01,5.88
1996-05-01,4.293
1996-06-01,1.132
1996-07-01,0.0
1996-08-01,0.0
1996-09-01,0.0
1996-10-01,0.0
1996-11-01,0.0
1996-12-01,0.078
1997-01-01,0.619
1997-02-01,0.513
1997-03-01,0.0
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.0
1997-12-01,0.105
1998-01-01,1.493
1998-02-01,1.493
1998-03-01,0.767
1998-04-01,0.0
1998-05-01,0.0
1998-06-01,0.046
1998-07-01,3.316
1998-08-01,5.357
1998-09-01,3.761
1998-10-01,0.603
1998-11-01,0.839
1998-12-01,1.894
1999-01-01,4.116
1999-02-01,4.515
1999-03-01,4.372
1999-04-01,3.664
1999-05-01,3.169
1999-06-01,2.47
1999-07-01,1.512
1999-08-01,1.054
1999-09-01,0.558
1999-10-01,0.0
1999-11-01,0.0
1999-12-01,0.0
2000-01-01,0.311
2000-02-01,1.315
2000-03-01,0.992
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,1.63
2000-08-01,3.633
2000-09-01,5.096
2000-10-01,5.478
2000-11-01,6.734
2000-12-01,10.757
2001-01-01,15.488
2001-02-01,19.56
2001-03-01,24.814
2001-04-01,29.268
2001-05-01,34.501
2001-06-01,41.908
2001-07-01,45.796
2001-08-01,47.921
2001-09-01,49.976
2001-10-01,57.058
2001-11-01,64.461
2001-12-01,66.497
2002-01-01,60.192
2002-02-01,51.703
2002-03-01,46.06
2002-04-01,43.468
2002-05-01,40.108
2002-06-01,32.918
2002-07-01,25.439
2002-08-01,17.899
2002-09-01,14.408
2002-10-01,11.175
2002-11-01,3.664
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,1.045
2003-04-01,3.303
2003-05-01,6.118
2003-06-01,7.51
2003-07-01,7.022
2003-08-01,5.65
2003-09-01,4.563
2003-10-01,3.366
2003-11-01,0.669
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.051
2005-08-01,0.0
2005-09-01,1.558
2005-10-01,5.08
2005-11-01,6.661
2005-12-01,4.194
2006-01-01,1.414
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,1.005
2006-08-01,2.027
2006-09-01,2.427
2006-10-01,2.257
2006-11-01,2.427
2006-12-01,3.099
2007-01-01,4.305
2007-02-01,5.401
2007-03-01,5.898
2007-04-01,5.307
2007-05-01,3.596
2007-06-01,3.245
2007-07-01,3.818
2007-08-01,4.122
2007-09-01,3.928
2007-10-01,4.303
2007-11-01,5.056
2007-12-01,7.437
2008-01-01,9.918
2008-02-01,12.912
2008-03-01,15.659
2008-04-01,17.948
2008-05-01,20.44
2008-06-01,21.99
2008-07-01,24.562
2008-08-01,28.76
2008-09-01,33.144
2008-10-01,39.714
2008-11-01,49.951
2008-12-01,60.332
2009-01-01,70.65
2009-02-01,79.047
2009-03-01,88.693
2009-04-01,99.823
2009-05-01,112.016
2009-06-01,116.13
2009-07-01,111.498
2009-08-01,97.652
2009-09-01,85.275
2009-10-01,70.163
2009-11-01,56.468
2009-12-01,39.021
2010-01-01,17.723
2010-02-01,4.553
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.047
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.015
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,0.139
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,0.0
2014-01-01,0.0
2014-02-01,0.035
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,0.0
