time,series,value,sex_label
18-21,Older Millennials,4.833918438720629,Men
18-21,Older Millennials,2.0806918465523463,Women
18-21,Younger Millennials,4.923625986868448,Men
18-21,Younger Millennials,1.525237887605882,Women
22-25,Older Millennials,5.035579348137611,Men
22-25,Older Millennials,2.337949752722129,Women
22-25,Younger Millennials,5.25230475535599,Men
22-25,Younger Millennials,2.2276864347158583,Women
26-30,Older Millennials,5.481914377275657,Men
26-30,Older Millennials,2.819446105374669,Women
26-30,Younger Gen X,5.601687549305052,Men
26-30,Younger Gen X,2.804550572887188,Women
26-30,Younger Millennials,5.047771469457105,Men
26-30,Younger Millennials,2.851351985071357,Women
31-35,Older Millennials,5.248000730503192,Men
31-35,Older Millennials,3.0868904442424014,Women
31-35,Younger Gen X,5.539431518106016,Men
31-35,Younger Gen X,2.969092498773593,Women
36-40,Older Gen X,5.5249892673917405,Men
36-40,Older Gen X,3.0934253503525486,Women
36-40,Older Millennials,5.591189652252875,Men
36-40,Older Millennials,3.4485097411287544,Women
36-40,Younger Gen X,5.594716152498893,Men
36-40,Younger Gen X,3.307499557700383,Women
41-45,Older Gen X,5.609346635900288,Men
41-45,Older Gen X,3.2100509779995265,Women
41-45,Younger Gen X,5.770558253968225,Men
41-45,Younger Gen X,3.5969214440732875,Women
46-50,Older Gen X,5.737329896412635,Men
46-50,Older Gen X,3.42312640305287,Women
51-55,Older Gen X,5.508242937782044,Men
51-55,Older Gen X,3.971472482076189,Women
