time,series,value,sex_label
18-21,"Partnered, no child <13",5.011606974078677,Men
18-21,"Partnered, no child <13",5.083808683276236,Women
18-21,"Partnered, own child <13",4.194711700254345,Men
18-21,"Partnered, own child <13",3.7545528271704827,Women
18-21,"Single, no child <13",5.868658282922305,Men
18-21,"Single, no child <13",4.589449323433481,Women
18-21,"Single, own child <13",5.2393595294688255,Men
18-21,"Single, own child <13",4.446288556625055,Women
22-25,"Partnered, no child <13",4.763705192663347,Men
22-25,"Partnered, no child <13",4.139549091291512,Women
22-25,"Partnered, own child <13",4.099666978558313,Men
22-25,"Partnered, own child <13",3.8513148764344916,Women
22-25,"Single, no child <13",5.370599959568863,Men
22-25,"Single, no child <13",4.1342004550566855,Women
22-25,"Single, own child <13",4.5877325679362135,Men
22-25,"Single, own child <13",3.704567908670303,Women
26-30,"Partnered, no child <13",4.465428403958454,Men
26-30,"Partnered, no child <13",4.0202243215144495,Women
26-30,"Partnered, own child <13",3.766597234358245,Men
26-30,"Partnered, own child <13",3.4254034721387,Women
26-30,"Single, no child <13",4.97563742715148,Men
26-30,"Single, no child <13",4.261434904740601,Women
26-30,"Single, own child <13",4.13062996270038,Men
26-30,"Single, own child <13",3.5278931602684818,Women
31-35,"Partnered, no child <13",4.429905464675303,Men
31-35,"Partnered, no child <13",4.067519010598981,Women
31-35,"Partnered, own child <13",3.814243700939308,Men
31-35,"Partnered, own child <13",3.1532788268509746,Women
31-35,"Single, no child <13",5.146695544530288,Men
31-35,"Single, no child <13",4.126748758258551,Women
31-35,"Single, own child <13",4.000237809376522,Men
31-35,"Single, own child <13",3.513522626877729,Women
36-40,"Partnered, no child <13",4.575245500665585,Men
36-40,"Partnered, no child <13",3.9423866222228754,Women
36-40,"Partnered, own child <13",3.584886354431061,Men
36-40,"Partnered, own child <13",3.2172009855915795,Women
36-40,"Single, no child <13",5.053828626705448,Men
36-40,"Single, no child <13",4.361982024499841,Women
36-40,"Single, own child <13",3.727027238773961,Men
36-40,"Single, own child <13",3.4075228887392823,Women
41-45,"Partnered, no child <13",4.589691356365232,Men
41-45,"Partnered, no child <13",4.145458597514305,Women
41-45,"Partnered, own child <13",3.6254378231073487,Men
41-45,"Partnered, own child <13",3.2264317226624506,Women
41-45,"Single, no child <13",5.1430921927346445,Men
41-45,"Single, no child <13",4.489320547938268,Women
41-45,"Single, own child <13",4.012955529464645,Men
41-45,"Single, own child <13",3.2571806212491916,Women
46-50,"Partnered, no child <13",4.498748462935784,Men
46-50,"Partnered, no child <13",4.0536457542336315,Women
46-50,"Partnered, own child <13",3.840250306668633,Men
46-50,"Partnered, own child <13",3.391888868788766,Women
46-50,"Single, no child <13",5.513738750288666,Men
46-50,"Single, no child <13",4.493892101121329,Women
46-50,"Single, own child <13",3.5932935578716667,Men
46-50,"Single, own child <13",3.101102541288836,Women
51-55,"Partnered, no child <13",4.613830668943547,Men
51-55,"Partnered, no child <13",4.226643453137448,Women
51-55,"Partnered, own child <13",3.8275230033226126,Men
51-55,"Partnered, own child <13",3.555010534412123,Women
51-55,"Single, no child <13",5.819888226202408,Men
51-55,"Single, no child <13",4.631494310753423,Women
51-55,"Single, own child <13",3.8845576670135067,Men
51-55,"Single, own child <13",3.7080914669574683,Women
