date,series,value
2015-01-01,Quintile 1 (Lowest),-1.5985
2015-02-01,Quintile 1 (Lowest),-1.7387
2015-03-01,Quintile 1 (Lowest),-1.8919
2015-04-01,Quintile 1 (Lowest),-2.0123
2015-05-01,Quintile 1 (Lowest),-2.0677
2015-06-01,Quintile 1 (Lowest),-2.1261
2015-07-01,Quintile 1 (Lowest),-2.1808
2015-08-01,Quintile 1 (Lowest),-2.1877
2015-09-01,Quintile 1 (Lowest),-2.2061
2015-10-01,Quintile 1 (Lowest),-2.214
2015-11-01,Quintile 1 (Lowest),-2.2524
2015-12-01,Quintile 1 (Lowest),-2.2866
2016-01-01,Quintile 1 (Lowest),-2.2753
2016-02-01,Quintile 1 (Lowest),-2.2341
2016-03-01,Quintile 1 (Lowest),-2.0915
2016-04-01,Quintile 1 (Lowest),-1.9834
2016-05-01,Quintile 1 (Lowest),-1.9679
2016-06-01,Quintile 1 (Lowest),-1.8913
2016-07-01,Quintile 1 (Lowest),-1.7797
2016-08-01,Quintile 1 (Lowest),-1.6657
2016-09-01,Quintile 1 (Lowest),-1.5628
2016-10-01,Quintile 1 (Lowest),-1.4809
2016-11-01,Quintile 1 (Lowest),-1.4506
2016-12-01,Quintile 1 (Lowest),-1.4063
2017-01-01,Quintile 1 (Lowest),-1.4055
2017-02-01,Quintile 1 (Lowest),-1.3823
2017-03-01,Quintile 1 (Lowest),-1.4363
2017-04-01,Quintile 1 (Lowest),-1.439
2017-05-01,Quintile 1 (Lowest),-1.3926
2017-06-01,Quintile 1 (Lowest),-1.339
2017-07-01,Quintile 1 (Lowest),-1.3033
2017-08-01,Quintile 1 (Lowest),-1.3465
2017-09-01,Quintile 1 (Lowest),-1.3743
2017-10-01,Quintile 1 (Lowest),-1.4095
2017-11-01,Quintile 1 (Lowest),-1.3611
2017-12-01,Quintile 1 (Lowest),-1.3106
2018-01-01,Quintile 1 (Lowest),-1.2936
2018-02-01,Quintile 1 (Lowest),-1.2567
2018-03-01,Quintile 1 (Lowest),-1.2392
2018-04-01,Quintile 1 (Lowest),-1.2617
2018-05-01,Quintile 1 (Lowest),-1.2545
2018-06-01,Quintile 1 (Lowest),-1.2201
2018-07-01,Quintile 1 (Lowest),-1.1666
2018-08-01,Quintile 1 (Lowest),-1.1311
2018-09-01,Quintile 1 (Lowest),-1.0704
2018-10-01,Quintile 1 (Lowest),-0.9519
2018-11-01,Quintile 1 (Lowest),-0.8297
2018-12-01,Quintile 1 (Lowest),-0.7387
2019-01-01,Quintile 1 (Lowest),-0.6302
2019-02-01,Quintile 1 (Lowest),-0.5571
2019-03-01,Quintile 1 (Lowest),-0.5416
2019-04-01,Quintile 1 (Lowest),-0.5282
2019-05-01,Quintile 1 (Lowest),-0.5434
2019-06-01,Quintile 1 (Lowest),-0.5088
2019-07-01,Quintile 1 (Lowest),-0.5875
2019-08-01,Quintile 1 (Lowest),-0.4951
2019-09-01,Quintile 1 (Lowest),-0.393
2019-10-01,Quintile 1 (Lowest),-0.3077
2019-11-01,Quintile 1 (Lowest),-0.2939
2019-12-01,Quintile 1 (Lowest),-0.1506
2020-01-01,Quintile 1 (Lowest),0
2020-02-01,Quintile 1 (Lowest),0.1292
2020-03-01,Quintile 1 (Lowest),0.2106
2020-04-01,Quintile 1 (Lowest),-0.0631
2020-05-01,Quintile 1 (Lowest),-0.2569
2020-06-01,Quintile 1 (Lowest),-0.4624
2020-07-01,Quintile 1 (Lowest),-0.4759
2020-08-01,Quintile 1 (Lowest),-0.6373
2020-09-01,Quintile 1 (Lowest),-0.9533
2020-10-01,Quintile 1 (Lowest),-1.1959
2020-11-01,Quintile 1 (Lowest),-1.443
2020-12-01,Quintile 1 (Lowest),-1.7337
2021-01-01,Quintile 1 (Lowest),-2.0506
2021-02-01,Quintile 1 (Lowest),-2.3584
2021-03-01,Quintile 1 (Lowest),-2.5338
2021-04-01,Quintile 1 (Lowest),-2.3804
2021-05-01,Quintile 1 (Lowest),-2.3106
2021-06-01,Quintile 1 (Lowest),-2.2754
2021-07-01,Quintile 1 (Lowest),-2.2959
2021-08-01,Quintile 1 (Lowest),-2.2981
2021-09-01,Quintile 1 (Lowest),-2.2477
2021-10-01,Quintile 1 (Lowest),-2.1735
2021-11-01,Quintile 1 (Lowest),-2.0759
2021-12-01,Quintile 1 (Lowest),-1.9816
2022-01-01,Quintile 1 (Lowest),-1.8201
2022-02-01,Quintile 1 (Lowest),-1.7163
2022-03-01,Quintile 1 (Lowest),-1.5042
2022-04-01,Quintile 1 (Lowest),-1.3415
2022-05-01,Quintile 1 (Lowest),-1.1371
2022-06-01,Quintile 1 (Lowest),-1.0032
2022-07-01,Quintile 1 (Lowest),-0.9342
2022-08-01,Quintile 1 (Lowest),-0.735
2022-09-01,Quintile 1 (Lowest),-0.4905
2022-10-01,Quintile 1 (Lowest),-0.4117
2022-11-01,Quintile 1 (Lowest),-0.3436
2022-12-01,Quintile 1 (Lowest),-0.2573
2023-01-01,Quintile 1 (Lowest),-0.152
2023-02-01,Quintile 1 (Lowest),0.0367
2023-03-01,Quintile 1 (Lowest),0.118
2023-04-01,Quintile 1 (Lowest),0.3113
2023-05-01,Quintile 1 (Lowest),0.523
2023-06-01,Quintile 1 (Lowest),0.7912
2023-07-01,Quintile 1 (Lowest),0.9493
2023-08-01,Quintile 1 (Lowest),1.0491
