date,series,value
2015-01-01,Quintile 1 (Highest),4.2307
2015-02-01,Quintile 1 (Highest),4.0359
2015-03-01,Quintile 1 (Highest),3.91
2015-04-01,Quintile 1 (Highest),3.8359
2015-05-01,Quintile 1 (Highest),3.7698
2015-06-01,Quintile 1 (Highest),3.7097
2015-07-01,Quintile 1 (Highest),3.63
2015-08-01,Quintile 1 (Highest),3.5161
2015-09-01,Quintile 1 (Highest),3.3877
2015-10-01,Quintile 1 (Highest),3.3561
2015-11-01,Quintile 1 (Highest),3.3028
2015-12-01,Quintile 1 (Highest),3.2523
2016-01-01,Quintile 1 (Highest),3.1463
2016-02-01,Quintile 1 (Highest),3.1089
2016-03-01,Quintile 1 (Highest),3.0133
2016-04-01,Quintile 1 (Highest),2.9689
2016-05-01,Quintile 1 (Highest),2.831
2016-06-01,Quintile 1 (Highest),2.7723
2016-07-01,Quintile 1 (Highest),2.6879
2016-08-01,Quintile 1 (Highest),2.6772
2016-09-01,Quintile 1 (Highest),2.7252
2016-10-01,Quintile 1 (Highest),2.6911
2016-11-01,Quintile 1 (Highest),2.6203
2016-12-01,Quintile 1 (Highest),2.5443
2017-01-01,Quintile 1 (Highest),2.4899
2017-02-01,Quintile 1 (Highest),2.4175
2017-03-01,Quintile 1 (Highest),2.3694
2017-04-01,Quintile 1 (Highest),2.2551
2017-05-01,Quintile 1 (Highest),2.2648
2017-06-01,Quintile 1 (Highest),2.2366
2017-07-01,Quintile 1 (Highest),2.1743
2017-08-01,Quintile 1 (Highest),2.0946
2017-09-01,Quintile 1 (Highest),1.9494
2017-10-01,Quintile 1 (Highest),1.8641
2017-11-01,Quintile 1 (Highest),1.7885
2017-12-01,Quintile 1 (Highest),1.6616
2018-01-01,Quintile 1 (Highest),1.5216
2018-02-01,Quintile 1 (Highest),1.4061
2018-03-01,Quintile 1 (Highest),1.3033
2018-04-01,Quintile 1 (Highest),1.2577
2018-05-01,Quintile 1 (Highest),1.0985
2018-06-01,Quintile 1 (Highest),0.9714
2018-07-01,Quintile 1 (Highest),0.8303
2018-08-01,Quintile 1 (Highest),0.706
2018-09-01,Quintile 1 (Highest),0.6159
2018-10-01,Quintile 1 (Highest),0.5151
2018-11-01,Quintile 1 (Highest),0.3908
2018-12-01,Quintile 1 (Highest),0.4051
2019-01-01,Quintile 1 (Highest),0.3358
2019-02-01,Quintile 1 (Highest),0.3105
2019-03-01,Quintile 1 (Highest),0.2927
2019-04-01,Quintile 1 (Highest),0.2342
2019-05-01,Quintile 1 (Highest),0.1976
2019-06-01,Quintile 1 (Highest),0.1689
2019-07-01,Quintile 1 (Highest),0.1522
2019-08-01,Quintile 1 (Highest),0.0925
2019-09-01,Quintile 1 (Highest),0.0916
2019-10-01,Quintile 1 (Highest),0.0571
2019-11-01,Quintile 1 (Highest),0.0503
2019-12-01,Quintile 1 (Highest),-0.0188
2020-01-01,Quintile 1 (Highest),0
2020-02-01,Quintile 1 (Highest),-0.0385
2020-03-01,Quintile 1 (Highest),-0.0046
2020-04-01,Quintile 1 (Highest),1.1717
2020-05-01,Quintile 1 (Highest),2.2526
2020-06-01,Quintile 1 (Highest),3.0843
2020-07-01,Quintile 1 (Highest),3.7339
2020-08-01,Quintile 1 (Highest),4.2917
2020-09-01,Quintile 1 (Highest),4.8011
2020-10-01,Quintile 1 (Highest),5.2057
2020-11-01,Quintile 1 (Highest),5.6268
2020-12-01,Quintile 1 (Highest),6.0334
2021-01-01,Quintile 1 (Highest),6.413
2021-02-01,Quintile 1 (Highest),6.8543
2021-03-01,Quintile 1 (Highest),7.1978
2021-04-01,Quintile 1 (Highest),6.3803
2021-05-01,Quintile 1 (Highest),5.6903
2021-06-01,Quintile 1 (Highest),5.2897
2021-07-01,Quintile 1 (Highest),4.9995
2021-08-01,Quintile 1 (Highest),4.7085
2021-09-01,Quintile 1 (Highest),4.4147
2021-10-01,Quintile 1 (Highest),4.1818
2021-11-01,Quintile 1 (Highest),3.8444
2021-12-01,Quintile 1 (Highest),3.4998
2022-01-01,Quintile 1 (Highest),3.1806
2022-02-01,Quintile 1 (Highest),2.7967
2022-03-01,Quintile 1 (Highest),2.4057
2022-04-01,Quintile 1 (Highest),2.0082
2022-05-01,Quintile 1 (Highest),1.6458
2022-06-01,Quintile 1 (Highest),1.1925
2022-07-01,Quintile 1 (Highest),0.8328
2022-08-01,Quintile 1 (Highest),0.6426
2022-09-01,Quintile 1 (Highest),0.4238
2022-10-01,Quintile 1 (Highest),0.2905
2022-11-01,Quintile 1 (Highest),0.2144
2022-12-01,Quintile 1 (Highest),0.0703
2023-01-01,Quintile 1 (Highest),-0.08
2023-02-01,Quintile 1 (Highest),-0.1429
2023-03-01,Quintile 1 (Highest),-0.1908
2023-04-01,Quintile 1 (Highest),-0.1398
2023-05-01,Quintile 1 (Highest),-0.1143
2023-06-01,Quintile 1 (Highest),-0.053
2023-07-01,Quintile 1 (Highest),-0.0668
2023-08-01,Quintile 1 (Highest),-0.1055
2023-09-01,Quintile 1 (Highest),-0.0832
2023-10-01,Quintile 1 (Highest),-0.0837
2023-11-01,Quintile 1 (Highest),-0.0608
2023-12-01,Quintile 1 (Highest),0.0246
2024-01-01,Quintile 1 (Highest),0.1215
2024-02-01,Quintile 1 (Highest),0.1756
2024-03-01,Quintile 1 (Highest),0.2253
2024-04-01,Quintile 1 (Highest),0.2035
2024-05-01,Quintile 1 (Highest),0.2446
2024-06-01,Quintile 1 (Highest),0.3006
2024-07-01,Quintile 1 (Highest),0.4507
2024-08-01,Quintile 1 (Highest),0.4583
2024-09-01,Quintile 1 (Highest),0.446
