decile,component,value
1,OBBBA (via CBO),-3.1
1,2025 Tariff Increases,-2.4
2,OBBBA (via CBO),-0.6
2,2025 Tariff Increases,-1.5
3,OBBBA (via CBO),0
3,2025 Tariff Increases,-1.4
4,OBBBA (via CBO),0.4
4,2025 Tariff Increases,-1.3
5,OBBBA (via CBO),0.8
5,2025 Tariff Increases,-1.3
6,OBBBA (via CBO),1.0
6,2025 Tariff Increases,-1.3
7,OBBBA (via CBO),1.2
7,2025 Tariff Increases,-1.2
8,OBBBA (via CBO),1.3
8,2025 Tariff Increases,-1.2
9,OBBBA (via CBO),1.5
9,2025 Tariff Increases,-1.1
10,OBBBA (via CBO),2.6
10,2025 Tariff Increases,-0.8
