date,value
2022-01-01,49.4
2022-02-01,47.4
2022-03-01,45.6
2022-04-01,47.8
2022-05-01,45.3
2022-06-01,43.8
2022-07-01,45.7
2022-08-01,46.8
2022-09-01,44.4
2022-10-01,45.5
2022-11-01,46.3
2022-12-01,45.5
2023-01-01,44.4
2023-02-01,46.2
2023-03-01,49.3
2023-04-01,45.8
2023-05-01,48.8
2023-06-01,47.3
2023-07-01,45.3
2023-08-01,47.1
2023-09-01,45.8
2023-10-01,48.3
2023-11-01,49.3
2023-12-01,48.8
2024-01-01,48.7
2024-02-01,49.4
2024-03-01,47.2
2024-04-01,49.2
2024-05-01,48.4
2024-06-01,47.1
2024-07-01,48.9
2024-08-01,47.4
2024-09-01,47.9
2024-10-01,48.6
2024-11-01,47.7
2024-12-01,47.2
2025-01-01,46.7
2025-02-01,46.7
2025-03-01,46.7
2025-04-01,47.6
2025-05-01,48.1
2025-06-01,47.1
2025-07-01,46.2
2025-08-01,47.1
2025-09-01,46.8
2025-11-01,45.7
2025-12-01,46.4
2026-01-01,46.6
2026-02-01,47.6
2026-03-01,46.8
2026-04-01,47.2
2026-05-01,46.2
2026-06-01,46.4
