year,scenario,value
2025,Temporary with Tariff Revenue,30.127336773338
2026,Temporary with Tariff Revenue,32.13407074883622
2027,Temporary with Tariff Revenue,34.19327959815998
2028,Temporary with Tariff Revenue,36.345686199335276
2029,Temporary with Tariff Revenue,38.624892514412
2030,Temporary with Tariff Revenue,40.822311895144175
2031,Temporary with Tariff Revenue,43.06261934178206
2032,Temporary with Tariff Revenue,45.45460056423931
2033,Temporary with Tariff Revenue,47.9565051981632
2034,Temporary with Tariff Revenue,50.54327474048699
2035,Temporary with Tariff Revenue,53.27305719060231
2036,Temporary with Tariff Revenue,56.145265971638736
2037,Temporary with Tariff Revenue,59.1287262559395
2038,Temporary with Tariff Revenue,62.256583454873216
2039,Temporary with Tariff Revenue,65.52737123342696
2040,Temporary with Tariff Revenue,68.92554896913167
2041,Temporary with Tariff Revenue,72.48084744456145
2042,Temporary with Tariff Revenue,76.24509454175939
2043,Temporary with Tariff Revenue,80.18618009649673
2044,Temporary with Tariff Revenue,84.32820151860554
2045,Temporary with Tariff Revenue,88.6758090442028
2046,Temporary with Tariff Revenue,93.2377423905262
2047,Temporary with Tariff Revenue,98.03447986070567
2048,Temporary with Tariff Revenue,103.06548390362374
2049,Temporary with Tariff Revenue,108.35529781745365
2050,Temporary with Tariff Revenue,113.89801415069948
2051,Temporary with Tariff Revenue,119.72858850247603
2052,Temporary with Tariff Revenue,125.87655754292749
2053,Temporary with Tariff Revenue,132.2874373351808
2054,Temporary with Tariff Revenue,139.0353739125282
2055,Temporary with Tariff Revenue,146.1173144659822
2025,Temporary without Tariff Revenue,30.273336773338
2026,Temporary without Tariff Revenue,32.525970508836224
2027,Temporary without Tariff Revenue,34.83139421806718
2028,Temporary without Tariff Revenue,37.24789234738366
2029,Temporary without Tariff Revenue,39.80870294382651
2030,Temporary without Tariff Revenue,42.3069463470299
2031,Temporary without Tariff Revenue,44.869181011877515
2032,Temporary without Tariff Revenue,47.605288782541706
2033,Temporary without Tariff Revenue,50.47496230243941
2034,Temporary without Tariff Revenue,53.45349703880132
2035,Temporary without Tariff Revenue,56.59996018498701
2036,Temporary without Tariff Revenue,59.9095715144919
2037,Temporary without Tariff Revenue,63.350568078894234
2038,Temporary without Tariff Revenue,66.9578072835616
2039,Temporary without Tariff Revenue,70.72939448355721
2040,Temporary without Tariff Revenue,74.65077586254903
2041,Temporary without Tariff Revenue,78.75386187454366
2042,Temporary without Tariff Revenue,83.09073825386166
2043,Temporary without Tariff Revenue,87.63018644256422
2044,Temporary without Tariff Revenue,92.39714005052957
2045,Temporary without Tariff Revenue,97.39824385601928
2046,Temporary without Tariff Revenue,102.64256812512453
2047,Temporary without Tariff Revenue,108.15290430834527
2048,Temporary without Tariff Revenue,113.92885623620018
2049,Temporary without Tariff Revenue,119.99609975166287
2050,Temporary without Tariff Revenue,126.35123417859828
2051,Temporary without Tariff Revenue,133.0298679021831
