date,series,value
2022-01-01,Insured unemployment,106.2
2022-02-01,Insured unemployment,101.9
2022-03-01,Insured unemployment,96.2
2022-04-01,Insured unemployment,89.3
2022-05-01,Insured unemployment,85.2
2022-06-01,Insured unemployment,85.1
2022-07-01,Insured unemployment,86.8
2022-08-01,Insured unemployment,88.4
2022-09-01,Insured unemployment,86.9
2022-10-01,Insured unemployment,88.0
2022-11-01,Insured unemployment,90.9
2022-12-01,Insured unemployment,97.6
2023-01-01,Insured unemployment,100.0
2023-02-01,Insured unemployment,102.6
2023-03-01,Insured unemployment,104.9
2023-04-01,Insured unemployment,107.0
2023-05-01,Insured unemployment,107.5
2023-06-01,Insured unemployment,109.7
2023-07-01,Insured unemployment,110.8
2023-08-01,Insured unemployment,112.6
2023-09-01,Insured unemployment,112.2
2023-10-01,Insured unemployment,112.9
2023-11-01,Insured unemployment,112.3
2023-12-01,Insured unemployment,112.0
2024-01-01,Insured unemployment,110.8
2024-02-01,Insured unemployment,111.8
2024-03-01,Insured unemployment,112.2
2024-04-01,Insured unemployment,111.2
2024-05-01,Insured unemployment,112.1
2024-06-01,Insured unemployment,114.8
2024-07-01,Insured unemployment,116.2
2024-08-01,Insured unemployment,115.6
2024-09-01,Insured unemployment,114.4
2024-10-01,Insured unemployment,116.6
2024-11-01,Insured unemployment,116.8
2024-12-01,Insured unemployment,116.1
2025-01-01,Insured unemployment,116.4
2025-02-01,Insured unemployment,116.0
2025-03-01,Insured unemployment,116.3
2025-04-01,Insured unemployment,116.9
2025-05-01,Insured unemployment,118.9
2025-06-01,Insured unemployment,121.6
2025-07-01,Insured unemployment,121.4
2025-08-01,Insured unemployment,121.0
2025-09-01,Insured unemployment,119.9
2025-11-01,Insured unemployment,120.5
2025-12-01,Insured unemployment,117.8
2026-01-01,Insured unemployment,115.5
2026-02-01,Insured unemployment,115.5
2026-03-01,Insured unemployment,113.6
2026-04-01,Insured unemployment,111.5
2026-05-01,Insured unemployment,110.8
2026-06-01,Insured unemployment,112.8
2022-01-01,Adjusted insured unemployment,115.0
2022-02-01,Adjusted insured unemployment,112.9
2022-03-01,Adjusted insured unemployment,101.4
2022-04-01,Adjusted insured unemployment,94.6
2022-05-01,Adjusted insured unemployment,88.8
2022-06-01,Adjusted insured unemployment,89.4
2022-07-01,Adjusted insured unemployment,87.1
2022-08-01,Adjusted insured unemployment,89.7
2022-09-01,Adjusted insured unemployment,87.4
2022-10-01,Adjusted insured unemployment,89.3
2022-11-01,Adjusted insured unemployment,93.1
2022-12-01,Adjusted insured unemployment,97.0
2023-01-01,Adjusted insured unemployment,100.0
2023-02-01,Adjusted insured unemployment,101.2
2023-03-01,Adjusted insured unemployment,103.9
2023-04-01,Adjusted insured unemployment,107.1
2023-05-01,Adjusted insured unemployment,107.8
2023-06-01,Adjusted insured unemployment,109.5
2023-07-01,Adjusted insured unemployment,112.5
2023-08-01,Adjusted insured unemployment,115.8
2023-09-01,Adjusted insured unemployment,112.8
2023-10-01,Adjusted insured unemployment,115.0
2023-11-01,Adjusted insured unemployment,111.7
2023-12-01,Adjusted insured unemployment,113.4
2024-01-01,Adjusted insured unemployment,113.2
2024-02-01,Adjusted insured unemployment,111.7
2024-03-01,Adjusted insured unemployment,113.1
